NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	25	7.576432704925537	0.17154662	Yes	
row_1	MCM6	42	5.998203754425049	0.3076638	Yes	
row_2	MCM4	101	4.115655422210693	0.39727804	Yes	
row_3	MCM2	113	3.889021396636963	0.4854812	Yes	
row_4	CDT1	179	3.0515785217285156	0.55015695	Yes	
row_5	MCM5	245	2.635315179824829	0.60529715	Yes	
row_6	CDC7	409	1.9997353553771973	0.6379949	Yes	
row_7	CDC45	532	1.7590051889419556	0.668476	Yes	
row_8	POLE	551	1.7324683666229248	0.70671475	Yes	
row_9	POLA1	601	1.63704514503479	0.740274	Yes	
row_10	RPA1	967	1.2163548469543457	0.738778	Yes	
row_11	PRIM1	974	1.212496042251587	0.7660707	Yes	
row_12	CDK2	1297	1.0002156496047974	0.7630823	No	
row_13	ORC1	1612	0.8653203845024109	0.7576473	No	
row_14	MCM7	1816	0.7822602987289429	0.7592381	No	
row_15	MCM8	2294	0.6473560929298401	0.73569876	No	
row_16	MCM10	3763	0.38097336888313293	0.62634355	No	
row_17	POLE3	5691	0.17471306025981903	0.47534257	No	
row_18	PRIM2	6331	0.12121933698654175	0.4267198	No	
row_19	ORC6	6489	0.1091364398598671	0.41659114	No	
row_20	POLA2	6577	0.10269708931446075	0.4119456	No	
row_21	RPA3	7424	0.04310424625873566	0.34488285	No	
row_22	POLE4	8098	-0.0030930337961763144	0.2908192	No	
row_23	ORC4	8525	-0.037242162972688675	0.2574059	No	
row_24	DBF4	9442	-0.13201995193958282	0.18674935	No	
row_25	POLE2	9523	-0.1436925232410431	0.18360598	No	
row_26	ORC3	9988	-0.21271318197250366	0.15115568	No	
row_27	CDC6	10593	-0.341438353061676	0.110392906	No	
row_28	RPA2	10662	-0.3591645359992981	0.11315073	No	
row_29	ORC5	10695	-0.3704383373260498	0.119062565	No	
row_30	ORC2	10933	-0.46478042006492615	0.110645846	No	
row_31	GMNN	11104	-0.538829505443573	0.109314725	No	
