NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGM1	51	5.542655944824219	0.033530176	No	
row_1	PARP1	385	2.092255115509033	0.02070202	No	
row_2	PFKFB2	899	1.2762552499771118	-0.012293467	No	
row_3	ENPP1	1733	0.8136281967163086	-0.0744264	No	
row_4	NDUFS4	1805	0.7855784296989441	-0.074854106	No	
row_5	TAFAZZIN	1883	0.7669401168823242	-0.07589587	No	
row_6	ENO3	1937	0.7508739233016968	-0.07509735	No	
row_7	ABCC6	2065	0.7135844230651855	-0.08056318	No	
row_8	SDHA	2627	0.5730513334274292	-0.12223722	No	
row_9	ATP1B1	2943	0.5048931837081909	-0.14439239	No	
row_10	PARG	3015	0.4924522638320923	-0.14681245	No	
row_11	COX15	3072	0.4815930426120758	-0.14808789	No	
row_12	UQCC3	3173	0.4665018618106842	-0.15303995	No	
row_13	COX6C	3203	0.4619315564632416	-0.15225586	No	
row_14	NDUFB5	3487	0.41961267590522766	-0.17239138	No	
row_15	NDUFA10	3805	0.3750847280025482	-0.1955913	No	
row_16	CTNS	3875	0.3659043610095978	-0.19870903	No	
row_17	COX8A	3960	0.3563928008079529	-0.20310983	No	
row_18	NDUFB1	4323	0.31075185537338257	-0.23040229	No	
row_19	UQCRC1	4705	0.26886799931526184	-0.25952277	No	
row_20	SDHD	4877	0.2507324814796448	-0.27170858	No	
row_21	UQCRB	4890	0.24939101934432983	-0.27098823	No	
row_22	AFG1L	4955	0.242886483669281	-0.27453595	No	
row_23	FOXK2	5017	0.23705936968326569	-0.27787963	No	
row_24	VPS9D1	5044	0.23430368304252625	-0.27839902	No	
row_25	ATP5MG	5168	0.2215849608182907	-0.28688398	No	
row_26	NDUFS7	5350	0.20466436445713043	-0.30019522	No	
row_27	PFKM	5463	0.1951083540916443	-0.30796662	No	
row_28	SDHC	5612	0.1816965490579605	-0.31875342	No	
row_29	NDUFA6	5789	0.1661921590566635	-0.33192	No	
row_30	NDUFV1	5964	0.1514122188091278	-0.34502456	No	
row_31	COX7A2	6053	0.1432856321334839	-0.35119876	No	
row_32	ATP5F1A	6272	0.125997394323349	-0.3680501	No	
row_33	NIPSNAP2	6354	0.11975116282701492	-0.37381566	No	
row_34	NDUFV3	6401	0.11620830744504929	-0.3767623	No	
row_35	OLA1	6553	0.1043342798948288	-0.3883186	No	
row_36	SLC25A51	6623	0.09962816536426544	-0.39324617	No	
row_37	AK9	6821	0.08469045162200928	-0.40867248	No	
row_38	NDUFC1	7135	0.06072014942765236	-0.4336842	No	
row_39	UQCRC2	7146	0.060133758932352066	-0.43408775	No	
row_40	COX4I1	7231	0.05457763001322746	-0.44054	No	
row_41	TEFM	7265	0.05296377092599869	-0.4428605	No	
row_42	COX7C	7277	0.05224652215838432	-0.44339892	No	
row_43	ENO2	7365	0.046907808631658554	-0.45014694	No	
row_44	ATP5PD	7552	0.033405058085918427	-0.46502832	No	
row_45	PFKL	7602	0.030347300693392754	-0.46880224	No	
row_46	UQCR10	7740	0.02014407515525818	-0.47979358	No	
row_47	NDUFA1	7841	0.013680227100849152	-0.48782343	No	
row_48	SLC25A13	7878	0.011763992719352245	-0.49066767	No	
row_49	COX6A1	7893	0.010865187272429466	-0.49173102	No	
row_50	NDUFS5	7998	0.003488758346065879	-0.50015503	No	
row_51	UQCRFS1	8112	-0.004417932126671076	-0.5093038	No	
