NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBA1A	31	7.370640277862549	0.118036225	Yes	
row_1	DYNC1H1	103	4.0350213050842285	0.17829528	Yes	
row_2	CNTRL	151	3.3392558097839355	0.22911242	Yes	
row_3	CKAP5	272	2.5306923389434814	0.26081654	Yes	
row_4	TUBB	290	2.440305233001709	0.299353	Yes	
row_5	CCP110	299	2.403968095779419	0.33802137	Yes	
row_6	ALMS1	300	2.399362802505493	0.3772599	Yes	
row_7	PCNT	511	1.7965787649154663	0.389697	Yes	
row_8	CEP57	521	1.7824857234954834	0.4181211	Yes	
row_9	AKAP9	593	1.6487327814102173	0.43935546	Yes	
row_10	CDK5RAP2	717	1.4787230491638184	0.45361394	Yes	
row_11	YWHAE	782	1.4037197828292847	0.4714062	Yes	
row_12	HMMR	864	1.3084372282028198	0.48626858	Yes	
row_13	DYNLL1	881	1.2937406301498413	0.5061351	Yes	
row_14	CLASP1	908	1.2699946165084839	0.5248065	Yes	
row_15	PCM1	926	1.2519983053207397	0.54390967	Yes	
row_16	NINL	964	1.2175780534744263	0.5608363	Yes	
row_17	TPX2	1021	1.1767016649246216	0.57556146	Yes	
row_18	PRKACA	1155	1.0867432355880737	0.58260274	Yes	
row_19	CEP70	1482	0.9185332655906677	0.5713211	Yes	
row_20	SFI1	1493	0.9134688377380371	0.5854529	Yes	
row_21	PAFAH1B1	1496	0.9127796292304993	0.6002189	Yes	
row_22	DCTN3	1603	0.8689897060394287	0.60587764	Yes	
row_23	CDK1	1614	0.8645190596580505	0.6192089	Yes	
row_24	DYNC1I2	1683	0.833640992641449	0.6273555	Yes	
row_25	DCTN2	1713	0.8207549452781677	0.63843805	Yes	
row_26	HAUS5	1822	0.7816479802131653	0.642507	Yes	
row_27	HAUS6	1884	0.7668519020080566	0.65012616	Yes	
row_28	CENPJ	1992	0.7351189255714417	0.65351486	Yes	
row_29	CEP63	2013	0.7278863191604614	0.6638049	Yes	
row_30	NEDD1	2365	0.6280867457389832	0.64575624	No	
row_31	CEP78	2568	0.5836026668548584	0.63900214	No	
row_32	TUBG1	2680	0.5591886043548584	0.63919103	No	
row_33	NDE1	2788	0.5378217697143555	0.6393532	No	
row_34	PRKAR2B	3076	0.48113182187080383	0.6240651	No	
row_35	PLK4	3101	0.47861599922180176	0.6299558	No	
row_36	TUBB4A	3156	0.4690241515636444	0.6332692	No	
row_37	CEP131	3160	0.46819692850112915	0.6406839	No	
row_38	HAUS4	3234	0.45746171474456787	0.64227515	No	
row_39	CEP290	3288	0.44965851306915283	0.6453525	No	
row_40	OFD1	3344	0.4415415823459625	0.6481357	No	
row_41	CEP192	3485	0.4198245406150818	0.6437056	No	
row_42	HAUS3	3864	0.3670713007450104	0.61921	No	
row_43	HAUS1	3925	0.3602771461009979	0.62026083	No	
row_44	HAUS8	3976	0.35541799664497375	0.622039	No	
row_45	CEP152	4858	0.25248846411705017	0.55508536	No	
row_46	ACTR1A	4938	0.24478527903556824	0.55271447	No	
row_47	CEP135	5251	0.21395280957221985	0.5310399	No	
row_48	CEP164	5666	0.1770646721124649	0.5005323	No	
row_49	CEP72	6099	0.1403486579656601	0.46797198	No	
row_50	CETN2	6806	0.0853225588798523	0.41240427	No	
row_51	TUBB4B	6948	0.0747750923037529	0.40225065	No	
row_52	SSNA1	7084	0.06430387496948242	0.3924099	No	
row_53	HAUS2	7802	0.015760479494929314	0.33481705	No	
row_54	NEK2	7814	0.015423785895109177	0.33418176	No	
row_55	CEP76	7863	0.012558131478726864	0.33051428	No	
row_56	CEP250	7927	0.008336225524544716	0.3255675	No	
row_57	CEP41	8423	-0.028028061613440514	0.28608721	No	
row_58	HAUS7	8658	-0.04952871799468994	0.26801708	No	
row_59	CEP43	8711	-0.054705727845430374	0.26471615	No	
row_60	SDCCAG8	8874	-0.07121366262435913	0.2528099	No	
row_61	CSNK1D	8940	-0.07574662566184998	0.24880418	No	
row_62	YWHAG	9114	-0.09340498596429825	0.23637334	No	
row_63	PPP2R1A	9317	-0.11804251372814178	0.22200556	No	
row_64	CSNK1E	9480	-0.13638849556446075	0.21116517	No	
row_65	ODF2	9579	-0.14875169098377228	0.20569077	No	
row_66	HSP90AA1	9691	-0.16541893780231476	0.19944005	No	
row_67	MAPRE1	10127	-0.23726747930049896	0.16822262	No	
row_68	AURKA	10955	-0.47234243154525757	0.10922135	No	
row_69	PLK1	11486	-0.756393313407898	0.07882857	No	
