NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	25	7.576432704925537	0.16834413	Yes	
row_1	MCM6	42	5.998203754425049	0.30192566	Yes	
row_2	PCNA	50	5.647245407104492	0.4283394	Yes	
row_3	MCM4	101	4.115655422210693	0.5168598	Yes	
row_4	MCM2	113	3.889021396636963	0.603419	Yes	
row_5	LIG1	155	3.241830825805664	0.6730152	Yes	
row_6	GINS3	160	3.178013324737549	0.74415016	Yes	
row_7	CDT1	179	3.0515785217285156	0.81131715	Yes	
row_8	CDC45	532	1.7590051889419556	0.8225765	Yes	
row_9	POLA1	601	1.63704514503479	0.8539195	Yes	
row_10	DONSON	1674	0.8391720056533813	0.78662825	No	
row_11	DNA2	2917	0.5108019709587097	0.6982903	No	
row_12	BLM	3199	0.4621371626853943	0.6860965	No	
row_13	BRCA2	5046	0.23420833051204681	0.54299414	No	
row_14	GINS1	5466	0.19492532312870026	0.5137007	No	
row_15	ZNF830	6694	0.09386371821165085	0.41719362	No	
row_16	UPF1	8557	-0.04023411124944687	0.26844388	No	
row_17	WRN	9503	-0.1403529942035675	0.19564725	No	
row_18	FEN1	9617	-0.15268874168395996	0.18999825	No	
row_19	RTEL1	11055	-0.5150078535079956	0.08608214	No	
row_20	GMNN	11104	-0.538829505443573	0.09433963	No	
row_21	ZPR1	11327	-0.6585286259651184	0.091303624	No	
