NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NASP	23	7.968348503112793	0.3395127	Yes	
row_1	CENPF	134	3.5564377307891846	0.4830321	Yes	
row_2	KNTC1	174	3.0877363681793213	0.6121763	Yes	
row_3	POGZ	405	2.017780303955078	0.6801402	Yes	
row_4	CENPE	537	1.7488367557525635	0.7445358	Yes	
row_5	MIS18A	652	1.5504581928253174	0.8017986	Yes	
row_6	HELLS	718	1.4784934520721436	0.85991484	Yes	
row_7	CENPC	3113	0.4763190448284149	0.6880001	No	
row_8	CENPA	3464	0.4223140478134155	0.6779749	No	
row_9	CENPV	4480	0.29432350397109985	0.6090444	No	
row_10	CENPT	5050	0.2338075339794159	0.5733504	No	
row_11	OIP5	5459	0.19557951390743256	0.5489526	No	
row_12	DLGAP5	5626	0.18041124939918518	0.54334587	No	
row_13	MIS12	6886	0.07905776798725128	0.4455919	No	
row_14	CENPW	7497	0.037135180085897446	0.3981789	No	
row_15	HJURP	8262	-0.0158856101334095	0.33748412	No	
