NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMC4	28	7.519681453704834	0.18546112	Yes	
row_1	BANF1	29	7.444567680358887	0.37129816	Yes	
row_2	H1-10	47	5.809805393218994	0.51496035	Yes	
row_3	NUSAP1	106	3.980889320373535	0.60967165	Yes	
row_4	TOP2A	142	3.450040817260742	0.6929805	Yes	
row_5	H1-0	201	2.8823752403259277	0.7602698	Yes	
row_6	NCAPD2	286	2.4525043964385986	0.8147382	Yes	
row_7	NCAPG	592	1.6536461114883423	0.83149815	Yes	
row_8	PHF13	2213	0.6691566109657288	0.7179666	No	
row_9	KMT5A	2845	0.5256887078285217	0.6803617	No	
row_10	NCAPH2	2920	0.5096500515937805	0.6871349	No	
row_11	NCAPD3	3713	0.3873034119606018	0.6331324	No	
row_12	AKAP8L	3911	0.36194074153900146	0.62633014	No	
row_13	ACIN1	4290	0.31368035078048706	0.60377216	No	
row_14	GPER1	4372	0.3064652681350708	0.6049106	No	
row_15	SMC2	5006	0.2385185807943344	0.5599764	No	
row_16	CDCA5	5195	0.21884925663471222	0.5503257	No	
row_17	TTN	6262	0.12678514420986176	0.4677924	No	
row_18	DFFB	7722	0.021436557173728943	0.35103512	No	
row_19	TENT4A	8402	-0.027139263227581978	0.2971262	No	
row_20	AIFM1	8489	-0.0355580672621727	0.29110008	No	
row_21	NCAPH	8691	-0.05245839059352875	0.27625075	No	
row_22	H1-2	9411	-0.12953828275203705	0.22168231	No	
row_23	CHMP1A	9816	-0.1855803281068802	0.1938364	No	
row_24	PLK1	11486	-0.756393313407898	0.078543305	No	
