NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STMN1	2	18.477523803710938	0.16526423	Yes	
row_1	MYH10	13	9.608388900756836	0.25047824	Yes	
row_2	RHOB	17	8.783363342285156	0.3288716	Yes	
row_3	CIT	18	8.73147201538086	0.4070429	Yes	
row_4	SEPTIN8	80	4.417224407196045	0.44165978	Yes	
row_5	NUSAP1	106	3.980889320373535	0.4752796	Yes	
row_6	SON	141	3.4728527069091797	0.5036237	Yes	
row_7	CUL7	180	3.0406761169433594	0.52777535	Yes	
row_8	CHMP3	198	2.901301860809326	0.55237633	Yes	
row_9	SEPTIN5	227	2.747969150543213	0.5747156	Yes	
row_10	RASA1	339	2.2254066467285156	0.5856688	Yes	
row_11	ESPL1	378	2.103294849395752	0.6014283	Yes	
row_12	ROCK1	445	1.920585036277771	0.6132892	Yes	
row_13	KIF4A	448	1.913263201713562	0.6302566	Yes	
row_14	SEPTIN10	483	1.8403825759887695	0.6439855	Yes	
row_15	EXOC2	673	1.5287680625915527	0.64239836	Yes	
row_16	RACGAP1	754	1.431684136390686	0.6487508	Yes	
row_17	SPIRE1	833	1.338533878326416	0.65443087	Yes	
row_18	SEPTIN2	860	1.3102186918258667	0.6640599	Yes	
row_19	CKAP2	885	1.2910892963409424	0.6736792	Yes	
row_20	RHOA	1018	1.1792021989822388	0.67356884	Yes	
row_21	EXOC6B	1080	1.1297967433929443	0.67875403	Yes	
row_22	KIF20A	1275	1.01030433177948	0.67212105	Yes	
row_23	SEPTIN7	1469	0.9227412343025208	0.66478497	Yes	
row_24	BIRC5	1494	0.9134427905082703	0.6710233	Yes	
row_25	PDCD6IP	1553	0.8906052112579346	0.6743095	Yes	
row_26	INCENP	1595	0.8716534376144409	0.6787998	Yes	
row_27	DCTN3	1603	0.8689897060394287	0.686014	Yes	
row_28	EXOC7	1847	0.7747340202331543	0.6733121	No	
row_29	VPS4A	1864	0.771062970161438	0.6789223	No	
row_30	EXOC1	2088	0.7060415744781494	0.66722167	No	
row_31	MITD1	2445	0.6105556488037109	0.64391786	No	
row_32	TRIM36	2483	0.6014530062675476	0.6463124	No	
row_33	EXOC4	2509	0.5969234704971313	0.6496362	No	
row_34	CNTROB	2607	0.576723575592041	0.6469605	No	
row_35	ROCK2	2960	0.5007712841033936	0.62299705	No	
row_36	TTC19	2971	0.4992799162864685	0.62665886	No	
row_37	UNC119	3095	0.4792928397655487	0.6210097	No	
row_38	ANXA11	3176	0.4659290611743927	0.6187159	No	
