NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STMN1	2	18.477523803710938	0.16664553	Yes	
row_1	MYH10	13	9.608388900756836	0.2525779	Yes	
row_2	RHOB	17	8.783363342285156	0.33162794	Yes	
row_3	CIT	18	8.73147201538086	0.4104519	Yes	
row_4	SEPTIN8	80	4.417224407196045	0.4453998	Yes	
row_5	NUSAP1	106	3.980889320373535	0.47931752	Yes	
row_6	SON	141	3.4728527069091797	0.5079217	Yes	
row_7	CUL7	180	3.0406761169433594	0.5323011	Yes	
row_8	CHMP3	198	2.901301860809326	0.5571192	Yes	
row_9	SEPTIN5	227	2.747969150543213	0.57966423	Yes	
row_10	RASA1	339	2.2254066467285156	0.59078526	Yes	
row_11	ESPL1	378	2.103294849395752	0.60670245	Yes	
row_12	ROCK1	445	1.920585036277771	0.6187078	Yes	
row_13	KIF4A	448	1.913263201713562	0.6358183	Yes	
row_14	SEPTIN10	483	1.8403825759887695	0.6496852	Yes	
row_15	EXOC2	673	1.5287680625915527	0.6482148	Yes	
row_16	RACGAP1	754	1.431684136390686	0.6546753	Yes	
row_17	SPIRE1	833	1.338533878326416	0.6604565	Yes	
row_18	SEPTIN2	860	1.3102186918258667	0.6701837	Yes	
row_19	CKAP2	885	1.2910892963409424	0.6798999	Yes	
row_20	RHOA	1018	1.1792021989822388	0.6798794	Yes	
row_21	EXOC6B	1080	1.1297967433929443	0.68514985	Yes	
row_22	KIF20A	1275	1.01030433177948	0.67859495	Yes	
row_23	SEPTIN7	1469	0.9227412343025208	0.67133033	Yes	
row_24	BIRC5	1494	0.9134427905082703	0.6776373	Yes	
row_25	PDCD6IP	1553	0.8906052112579346	0.68099076	Yes	
row_26	INCENP	1595	0.8716534376144409	0.6855468	Yes	
row_27	DCTN3	1603	0.8689897060394287	0.6928261	Yes	
row_28	EXOC7	1847	0.7747340202331543	0.68018526	No	
row_29	VPS4A	1864	0.771062970161438	0.68585324	No	
row_30	EXOC1	2088	0.7060415744781494	0.67420834	No	
row_31	MITD1	2445	0.6105556488037109	0.65095484	No	
row_32	TRIM36	2483	0.6014530062675476	0.6533948	No	
row_33	EXOC4	2509	0.5969234704971313	0.65676355	No	
row_34	CNTROB	2607	0.576723575592041	0.65413225	No	
row_35	ROCK2	2960	0.5007712841033936	0.6302108	No	
row_36	TTC19	2971	0.4992799162864685	0.6339101	No	
row_37	UNC119	3095	0.4792928397655487	0.62829834	No	
row_38	CENPA	3464	0.4223140478134155	0.60237586	No	
row_39	EFHC1	3495	0.41877615451812744	0.60373235	No	
row_40	ECT2	3724	0.38583630323410034	0.58879274	No	
row_41	CHMP4B	3836	0.37123262882232666	0.5831751	No	
row_42	SNX18	4042	0.34674498438835144	0.5697411	No	
row_43	KLHDC8B	4168	0.3289119005203247	0.56261015	No	
row_44	EXOC5	4202	0.32444071769714355	0.5628726	No	
row_45	STAMBP	4254	0.3169417977333069	0.5616129	No	
row_46	CECR2	4324	0.3106796443462372	0.5588423	No	
row_47	SNX9	4464	0.2957862317562103	0.5502811	No	
row_48	USP8	4665	0.27362385392189026	0.536591	No	
row_49	SPIRE2	4725	0.26735803484916687	0.53423727	No	
row_50	ANK3	4826	0.2556059956550598	0.5284646	No	
row_51	APC	4912	0.2476024180650711	0.5238317	No	
row_52	EXOC8	5045	0.23423565924167633	0.5152805	No	
row_53	SNX33	5248	0.21469177305698395	0.50089675	No	
row_54	KIF23	5306	0.2087363749742508	0.4981754	No	
row_55	SPAST	5561	0.1854477971792221	0.47932598	No	
row_56	SEPTIN6	5610	0.18192872405052185	0.47708988	No	
row_57	CHMP5	5707	0.17349998652935028	0.4708992	No	
row_58	CEP55	5756	0.16913960874080658	0.46854764	No	
row_59	CHMP6	6089	0.1409398317337036	0.44299388	No	
row_60	EXOC3	6110	0.1392422616481781	0.44263488	No	
row_61	CHMP1B	6198	0.13159610331058502	0.43679312	No	
row_62	CHMP2A	6259	0.1271667629480362	0.43309304	No	
row_63	ARL3	6509	0.10726020485162735	0.41394174	No	
row_64	CDCA8	6711	0.09249185025691986	0.3985356	No	
row_65	VPS4B	6738	0.09053559601306915	0.39725208	No	
row_66	IST1	6887	0.07901019603013992	0.38600674	No	
row_67	FMN2	6923	0.07663723081350327	0.3838705	No	
row_68	TMEM250	7555	0.03324133902788162	0.33318484	No	
row_69	CHMP4A	7847	0.013399256393313408	0.30979255	No	
row_70	SEPTIN1	8160	-0.007529167458415031	0.28465044	No	
row_71	EXOC6	8203	-0.010275943204760551	0.28134954	No	
row_72	BIN3	8239	-0.013884895481169224	0.27864683	No	
row_73	ALKBH4	8399	-0.026890432462096214	0.26604214	No	
row_74	SEPTIN11	8455	-0.03163670748472214	0.26188365	No	
row_75	RTKN	9032	-0.08495040237903595	0.21610884	No	
row_76	CHMP7	9094	-0.09173360466957092	0.21200809	No	
row_77	JTB	9288	-0.1133631020784378	0.19743678	No	
row_78	CHMP1A	9816	-0.1855803281068802	0.1565297	No	
row_79	BBS4	9817	-0.18592825531959534	0.15820818	No	
row_80	RHOC	10160	-0.24338388442993164	0.13277121	No	
row_81	CHMP2B	10421	-0.2969655394554138	0.11444369	No	
row_82	AURKB	10767	-0.3939940929412842	0.09012396	No	
row_83	PLK1	11486	-0.756393313407898	0.03893684	No	
row_84	RAB35	11494	-0.7628228664398193	0.04525766	No	
row_85	SEPTIN9	11533	-0.7926943302154541	0.049343307	No	
row_86	SPTBN1	11534	-0.7931439876556396	0.056503467	No	
row_87	ANLN	12148	-2.0471203327178955	0.025452636	No	
