NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM6	42	5.998203754425049	0.14776142	Yes	
row_1	PCNA	50	5.647245407104492	0.28949383	Yes	
row_2	RFC1	95	4.192563056945801	0.39159718	Yes	
row_3	MCM2	113	3.889021396636963	0.48822308	Yes	
row_4	CDT1	179	3.0515785217285156	0.55988824	Yes	
row_5	MCM5	245	2.635315179824829	0.62106466	Yes	
row_6	CDC45	532	1.7590051889419556	0.6423909	Yes	
row_7	POLE	551	1.7324683666229248	0.68459713	Yes	
row_8	POLA1	601	1.63704514503479	0.72190636	Yes	
row_9	RPA1	967	1.2163548469543457	0.7232073	Yes	
row_10	PRIM1	974	1.212496042251587	0.75327647	Yes	
row_11	RFC4	987	1.2037932872772217	0.7826439	Yes	
row_12	CDK2	1297	1.0002156496047974	0.7830014	Yes	
row_13	POLD3	1323	0.991052508354187	0.8059631	Yes	
row_14	MCM7	1816	0.7822602987289429	0.7861146	No	
row_15	POLD2	2883	0.5170706510543823	0.71343136	No	
row_16	MCM10	3763	0.38097336888313293	0.65235466	No	
row_17	RFC3	4990	0.23972930014133453	0.5598184	No	
row_18	RFC2	5963	0.15144632756710052	0.48548052	No	
row_19	POLA2	6577	0.10269708931446075	0.43877977	No	
row_20	RPA3	7424	0.04310424625873566	0.37184307	No	
row_21	POLD4	7536	0.03430471941828728	0.36378247	No	
row_22	UBC	8462	-0.03219977021217346	0.29021898	No	
row_23	POLE2	9523	-0.1436925232410431	0.20861007	No	
row_24	ORC3	9988	-0.21271318197250366	0.17666183	No	
row_25	CDC6	10593	-0.341438353061676	0.13670039	No	
row_26	GMNN	11104	-0.538829505443573	0.10927076	No	
