NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	25	7.576432704925537	0.13467355	Yes	
row_1	MCM6	42	5.998203754425049	0.24159862	Yes	
row_2	PCNA	50	5.647245407104492	0.34291607	Yes	
row_3	RFC1	95	4.192563056945801	0.4150138	Yes	
row_4	MCM4	101	4.115655422210693	0.48886108	Yes	
row_5	MCM2	113	3.889021396636963	0.5581371	Yes	
row_6	LIG1	155	3.241830825805664	0.6133242	Yes	
row_7	GINS3	160	3.178013324737549	0.6703362	Yes	
row_8	MCM5	245	2.635315179824829	0.7111225	Yes	
row_9	GINS2	471	1.858998417854309	0.7265618	Yes	
row_10	CDC45	532	1.7590051889419556	0.7534693	Yes	
row_11	POLA1	601	1.63704514503479	0.77753305	Yes	
row_12	RPA1	967	1.2163548469543457	0.7701173	Yes	
row_13	PRIM1	974	1.212496042251587	0.791509	Yes	
row_14	RFC4	987	1.2037932872772217	0.81226104	Yes	
row_15	POLD3	1323	0.991052508354187	0.8031938	No	
row_16	MCM7	1816	0.7822602987289429	0.77773106	No	
row_17	POLD1	1985	0.737049400806427	0.77751446	No	
row_18	MCM8	2294	0.6473560929298401	0.7644185	No	
row_19	POLD2	2883	0.5170706510543823	0.72644955	No	
row_20	DNA2	2917	0.5108019709587097	0.73301035	No	
row_21	RFC5	3422	0.4291204810142517	0.70021147	No	
row_22	RFC3	4990	0.23972930014133453	0.5784907	No	
row_23	GINS1	5466	0.19492532312870026	0.5437994	No	
row_24	RFC2	5963	0.15144632756710052	0.50663453	No	
row_25	PRIM2	6331	0.12121933698654175	0.47930086	No	
row_26	POLA2	6577	0.10269708931446075	0.46144637	No	
row_27	GINS4	7241	0.05411133915185928	0.4090925	No	
row_28	RPA3	7424	0.04310424625873566	0.39523047	No	
row_29	POLD4	7536	0.03430471941828728	0.38692078	No	
row_30	FEN1	9617	-0.15268874168395996	0.22236523	No	
row_31	RPA2	10662	-0.3591645359992981	0.14486799	No	
