NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH10	13	9.608388900756836	0.06152047	Yes	
row_1	SMC4	28	7.519681453704834	0.109356865	Yes	
row_2	SMC1A	56	5.223994255065918	0.14118727	Yes	
row_3	NUMA1	88	4.268311977386475	0.16646904	Yes	
row_4	RFC1	95	4.192563056945801	0.19328654	Yes	
row_5	KIF11	96	4.190493583679199	0.22057754	Yes	
row_6	CDC27	97	4.184866905212402	0.2478319	Yes	
row_7	DYNC1H1	103	4.0350213050842285	0.27370456	Yes	
row_8	NUSAP1	106	3.980889320373535	0.29946816	Yes	
row_9	CENPF	134	3.5564377307891846	0.32043844	Yes	
row_10	TOP2A	142	3.450040817260742	0.34233904	Yes	
row_11	KNTC1	174	3.0877363681793213	0.35993218	Yes	
row_12	CKAP5	272	2.5306923389434814	0.36854085	Yes	
row_13	ALMS1	300	2.399362802505493	0.38197556	Yes	
row_14	WASF2	311	2.3581104278564453	0.39652136	Yes	
row_15	ESPL1	378	2.103294849395752	0.40486255	Yes	
row_16	SMC3	423	1.9658116102218628	0.41409397	Yes	
row_17	ROCK1	445	1.920585036277771	0.42489755	Yes	
row_18	CLIP2	452	1.9078863859176636	0.43683589	Yes	
row_19	ARHGEF11	456	1.8951866626739502	0.44893497	Yes	
row_20	PCNT	511	1.7965787649154663	0.4562526	Yes	
row_21	CEP57	521	1.7824857234954834	0.46713078	Yes	
row_22	DYNLL2	531	1.7605249881744385	0.4778659	Yes	
row_23	MYO9B	533	1.7577495574951172	0.48923227	Yes	
row_24	CENPE	537	1.7488367557525635	0.50037825	Yes	
row_25	ARHGEF12	541	1.746821403503418	0.5115111	Yes	
row_26	TRIO	567	1.6956963539123535	0.52052546	Yes	
row_27	TIAM1	666	1.5329123735427856	0.52255476	Yes	
row_28	SYNPO	675	1.5267468690872192	0.53184855	Yes	
row_29	PRC1	728	1.467070460319519	0.53718257	Yes	
row_30	CLASP1	908	1.2699946165084839	0.5309255	Yes	
row_31	PCM1	926	1.2519983053207397	0.5376995	Yes	
row_32	NF1	951	1.230190396308899	0.54376334	Yes	
row_33	FARP1	1035	1.1681829690933228	0.54463476	Yes	
row_34	DST	1100	1.1209017038345337	0.5467404	Yes	
row_35	PLEKHG2	1124	1.1023502349853516	0.5520528	Yes	
row_36	PALLD	1160	1.0818942785263062	0.5562581	Yes	
row_37	KIF15	1179	1.0694990158081055	0.5617624	Yes	
row_38	FLNB	1199	1.0550020933151245	0.5670911	Yes	
row_39	TLK1	1258	1.0200649499893188	0.56902695	Yes	
row_40	ARFGEF1	1292	1.0020793676376343	0.5728747	Yes	
row_41	OPHN1	1322	0.9911564588546753	0.57697606	Yes	
row_42	KIF20B	1324	0.9903131127357483	0.5833444	Yes	
row_43	FGD4	1329	0.9886443018913269	0.5894584	Yes	
row_44	CYTH2	1335	0.9862721562385559	0.5954758	Yes	
row_45	KIF1B	1435	0.9410086870193481	0.5935691	Yes	
row_46	TSC1	1465	0.9247246980667114	0.59723777	Yes	
row_47	BIRC5	1494	0.9134427905082703	0.6009141	Yes	
row_48	PAFAH1B1	1496	0.9127796292304993	0.60677755	Yes	
row_49	ARHGAP27	1542	0.894249439239502	0.6089491	Yes	
row_50	INCENP	1595	0.8716534376144409	0.6104054	Yes	
row_51	RAB3GAP1	1671	0.8399821519851685	0.6097887	No	
row_52	CDC42EP4	1738	0.8109044432640076	0.6097131	No	
row_53	TUBGCP6	1856	0.7733542323112488	0.60525364	No	
row_54	SAC3D1	1955	0.745924174785614	0.60215765	No	
row_55	CENPJ	1992	0.7351189255714417	0.60402334	No	
row_56	CDC42	2001	0.7328597903251648	0.6081469	No	
row_57	STAU1	2064	0.7136186361312866	0.60776234	No	
row_58	CDC42BPA	2207	0.6705596446990967	0.60060436	No	
row_59	RANBP9	2303	0.6450236439704895	0.5970948	No	
row_60	SHROOM1	2335	0.6353868246078491	0.59871674	No	
row_61	TBCD	2424	0.6143655180931091	0.5955756	No	
row_62	ARL8A	2436	0.6120612621307373	0.5986689	No	
row_63	CNTROB	2607	0.576723575592041	0.5886273	No	
row_64	SSH2	2661	0.5633718371391296	0.5879947	No	
row_65	ARHGAP5	3125	0.47409117221832275	0.55350417	No	
row_66	CEP131	3160	0.46819692850112915	0.5537938	No	
row_67	FBXO5	3214	0.46012669801712036	0.55248886	No	
row_68	CCNB2	3252	0.4539065957069397	0.55244195	No	
row_69	KIF3C	3274	0.4509972631931305	0.5536747	No	
row_70	LLGL1	3314	0.44631069898605347	0.553416	No	
row_71	BCL2L11	3494	0.4189659357070923	0.54161656	No	
row_72	KIFAP3	3498	0.418352872133255	0.5440976	No	
row_73	RABGAP1	3604	0.40429070591926575	0.53820854	No	
row_74	ECT2	3724	0.38583630323410034	0.531063	No	
row_75	TTK	3928	0.360184907913208	0.51693285	No	
row_76	BCR	4298	0.3130972981452942	0.48902306	No	
row_77	NCK2	4454	0.29723912477493286	0.4783787	No	
row_78	PREX1	4618	0.2776588797569275	0.46695754	No	
row_79	APC	4912	0.2476024180650711	0.44478953	No	
row_80	BRCA2	5046	0.23420833051204681	0.43552026	No	
row_81	MARK4	5053	0.23330925405025482	0.43655273	No	
row_82	SOS1	5303	0.20885512232780457	0.41770354	No	
row_83	KIF23	5306	0.2087363749742508	0.41890064	No	
row_84	TUBD1	5402	0.20060060918331146	0.41249666	No	
row_85	WASL	5413	0.19972528517246246	0.41298574	No	
row_86	TUBGCP5	5478	0.19355888664722443	0.40905195	No	
row_87	PCGF5	5495	0.19170552492141724	0.40900186	No	
row_88	ARF6	5601	0.18288663029670715	0.40167087	No	
row_89	DLGAP5	5626	0.18041124939918518	0.40089792	No	
row_90	ARHGEF2	5946	0.15290169417858124	0.37600297	No	
row_91	UXT	6028	0.14583438634872437	0.37037858	No	
row_92	HOOK3	6052	0.14345158636569977	0.3694461	No	
row_93	PXN	6091	0.1407783031463623	0.36727875	No	
row_94	CEP72	6099	0.1403486579656601	0.36762467	No	
row_95	RICTOR	6127	0.13748256862163544	0.36632866	No	
row_96	ARHGAP4	6561	0.10376913845539093	0.3318612	No	
row_97	ARHGAP10	6799	0.08616456389427185	0.3131869	No	
row_98	KATNB1	6944	0.07502780854701996	0.30198815	No	
row_99	STK38L	6996	0.07055924832820892	0.2983084	No	
row_100	SASS6	7075	0.0646834746003151	0.29239902	No	
row_101	NEK2	7814	0.015423785895109177	0.23260173	No	
row_102	CEP250	7927	0.008336225524544716	0.22356585	No	
row_103	BIN1	8029	0.001869427040219307	0.21538064	No	
row_104	RASA2	8370	-0.02454064041376114	0.18794529	No	
row_105	DOCK4	8414	-0.027607480064034462	0.18463512	No	
row_106	CD2AP	8484	-0.035173460841178894	0.179264	No	
row_107	PIF1	8770	-0.06039001792669296	0.15652604	No	
row_108	MAP3K11	8906	-0.07333894073963165	0.14604677	No	
row_109	CSNK1D	8940	-0.07574662566184998	0.14386173	No	
row_110	RALBP1	9214	-0.10540031641721725	0.12239087	No	
row_111	KIF3B	9246	-0.1088373064994812	0.120583646	No	
row_112	TAOK2	9425	-0.13008782267570496	0.106983975	No	
row_113	RHOT2	9600	-0.15055149793624878	0.09384223	No	
row_114	EZR	9651	-0.15804561972618103	0.090813406	No	
row_115	FGD6	9796	-0.17974068224430084	0.08029662	No	
row_116	KATNA1	9916	-0.20199812948703766	0.07195385	No	
row_117	MYO1E	9987	-0.21226614713668823	0.06765489	No	
row_118	MAPRE1	10127	-0.23726747930049896	0.057918567	No	
row_119	MAP1S	10393	-0.29115578532218933	0.038306754	No	
row_120	FLNA	10397	-0.2915530502796173	0.039962035	No	
row_121	LATS1	10827	-0.415863037109375	0.007851782	No	
row_122	RAPGEF6	10843	-0.42206406593322754	0.009383082	No	
row_123	NCK1	10897	-0.44508084654808044	0.007980116	No	
row_124	MYH9	10924	-0.45897772908210754	0.008859036	No	
row_125	AURKA	10955	-0.47234243154525757	0.009500344	No	
row_126	MID1	11028	-0.5044439435005188	0.006941904	No	
row_127	RHOF	11118	-0.5486465692520142	0.0032915792	No	
row_128	MID1IP1	11161	-0.5738164186477661	0.003619801	No	
row_129	WASF1	11171	-0.5778734683990479	0.006652799	No	
row_130	GEMIN4	11189	-0.5854085683822632	0.009085571	No	
row_131	PPP4R2	11303	-0.6445112228393555	0.0041116807	No	
row_132	CDC42EP2	11322	-0.6558178067207336	0.0069218385	No	
row_133	CAPZB	11439	-0.7287729978561401	0.0022532241	No	
row_134	NEDD9	11455	-0.7390856742858887	0.005849159	No	
row_135	LRPPRC	11461	-0.742756724357605	0.010280624	No	
row_136	PLK1	11486	-0.756393313407898	0.013258816	No	
row_137	SPTBN1	11534	-0.7931439876556396	0.014609619	No	
row_138	ACTN4	11730	-1.0084036588668823	0.0053503094	No	
row_139	CDC42EP1	12092	-1.8148518800735474	-0.012129859	No	
row_140	NET1	12118	-1.9231550693511963	-0.0016341783	No	
row_141	ARHGAP29	12128	-1.9672247171401978	0.010447106	No	
row_142	MARCKS	12221	-2.5582640171051025	0.019641127	No	
