NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM5	245	2.635315179824829	0.0058820914	No	
row_1	MAP3K6	383	2.0947911739349365	0.015207736	No	
row_2	UNG	1580	0.8764145374298096	-0.07257934	No	
row_3	PLK4	3101	0.47861599922180176	-0.19032127	No	
row_4	CDK4	6360	0.11888094991445541	-0.45150593	No	
row_5	GRWD1	8591	-0.04342830926179886	-0.6306475	No	
row_6	MPHOSPH10	9026	-0.08419667184352875	-0.66477567	No	
row_7	CBX3	9676	-0.1626005470752716	-0.71545416	No	
row_8	SLC19A1	9917	-0.20247259736061096	-0.7328118	No	
row_9	NIP7	10144	-0.240554541349411	-0.748672	No	
row_10	TFB2M	10216	-0.2540506422519684	-0.75192016	No	
row_11	NDUFAF4	10236	-0.25725704431533813	-0.7509501	No	
row_12	DUSP2	10267	-0.26337766647338867	-0.7508063	No	
row_13	TMEM97	10607	-0.34631046652793884	-0.7747377	No	
row_14	RABEPK	10815	-0.4106455445289612	-0.787415	No	
row_15	LAS1L	11045	-0.5104058980941772	-0.80089444	No	
row_16	RCL1	11079	-0.5282710194587708	-0.7984179	No	
row_17	NOC4L	11115	-0.5478334426879883	-0.7959124	No	
row_18	PRMT3	11284	-0.6345988512039185	-0.803273	No	
row_19	PLK1	11486	-0.756393313407898	-0.81210726	No	
row_20	SORD	11660	-0.9114608764648438	-0.81718	Yes	
row_21	BYSL	11721	-0.9968653321266174	-0.81232375	Yes	
row_22	WDR74	11785	-1.0749611854553223	-0.8069502	Yes	
row_23	DCTPP1	11866	-1.2016472816467285	-0.80171436	Yes	
row_24	AIMP2	11869	-1.2032278776168823	-0.7901825	Yes	
row_25	UTP20	11874	-1.2092262506484985	-0.77875334	Yes	
row_26	PPRC1	11880	-1.221392035484314	-0.7672865	Yes	
row_27	IMP4	11882	-1.223850131034851	-0.7554737	Yes	
row_28	EXOSC5	11943	-1.3476120233535767	-0.7472089	Yes	
row_29	HK2	11952	-1.3644965887069702	-0.7345929	Yes	
row_30	TCOF1	12169	-2.1309752464294434	-0.73127687	Yes	
row_31	WDR43	12195	-2.347838878631592	-0.71047366	Yes	
row_32	RRP9	12216	-2.533884286880493	-0.6874599	Yes	
row_33	NOP16	12232	-2.650791645050049	-0.66290736	Yes	
row_34	PES1	12274	-3.1039717197418213	-0.63604444	Yes	
row_35	PPAN	12284	-3.293950080871582	-0.6047586	Yes	
row_36	NOP56	12304	-3.554683208465576	-0.5717442	Yes	
row_37	PA2G4	12314	-3.756798505783081	-0.53596044	Yes	
row_38	GNL3	12332	-4.08517599105835	-0.49762967	Yes	
row_39	NOP2	12336	-4.126607894897461	-0.45776895	Yes	
row_40	HSPD1	12342	-4.228322982788086	-0.41708082	Yes	
row_41	SRM	12380	-5.381168842315674	-0.36776605	Yes	
row_42	NOLC1	12394	-6.149337291717529	-0.30905375	Yes	
row_43	MYBBP1A	12418	-7.966277599334717	-0.23348965	Yes	
row_44	MYC	12461	-24.391151428222656	1.610473E-4	Yes	
