NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSG2	1355	0.981173574924469	-0.09379627	No	
row_1	KRT17	2781	0.539059579372406	-0.20004433	No	
row_2	FLG	3827	0.3720453679561615	-0.27831867	No	
row_3	PERP	5083	0.22977350652217865	-0.37567267	No	
row_4	PKP3	5365	0.2035217136144638	-0.39512342	No	
row_5	FURIN	5917	0.15604224801063538	-0.4370147	No	
row_6	CAPNS1	6236	0.12883403897285461	-0.460593	No	
row_7	PCSK6	6290	0.12445341795682907	-0.46293324	No	
row_8	DSC3	6629	0.09943918138742447	-0.48857322	No	
row_9	CAPN1	7514	0.03583832085132599	-0.5590926	No	
row_10	TGM1	7912	0.009834639728069305	-0.5908591	No	
row_11	KRT7	8042	0.0013304867316037416	-0.60121	No	
row_12	JUP	8541	-0.038559358566999435	-0.64065343	No	
row_13	DSC2	8656	-0.04949136823415756	-0.649055	No	
row_14	KRT10	9022	-0.08400696516036987	-0.67710394	No	
row_15	KRT79	10850	-0.42489102482795715	-0.8174345	No	
row_16	KRT81	10985	-0.4851771891117096	-0.82071936	No	
row_17	PKP2	11686	-0.9498836994171143	-0.8623374	Yes	
row_18	KRT34	11715	-0.9891615509986877	-0.8493212	Yes	
row_19	KAZN	11717	-0.9915981888771057	-0.8340966	Yes	
row_20	PKP4	11822	-1.1172527074813843	-0.8252137	Yes	
row_21	KRT80	11832	-1.1403510570526123	-0.8083363	Yes	
row_22	KRT15	12095	-1.828629732131958	-0.80117655	Yes	
row_23	KRTAP2-3	12456	-16.109603881835938	-0.58147395	Yes	
row_24	KRT8	12457	-17.27866554260254	-0.3147837	Yes	
row_25	KRT18	12459	-20.420650482177734	3.2160283E-4	Yes	
