NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL11	288	2.4489645957946777	-0.008806305	No	
row_1	RPS24	406	2.0055556297302246	-0.006344141	No	
row_2	RPS15A	714	1.4820044040679932	-0.022475474	No	
row_3	RPL7A	752	1.431968092918396	-0.016929593	No	
row_4	RPL15	796	1.385282039642334	-0.012151067	No	
row_5	RPL34	797	1.384430170059204	-0.0038777145	No	
row_6	RPS3A	865	1.3081943988800049	-0.0015133074	No	
row_7	RPS4X	1071	1.1370643377304077	-0.01140387	No	
row_8	RPL36A	1228	1.0370841026306152	-0.017903635	No	
row_9	RPL5	1551	0.8907023072242737	-0.038789492	No	
row_10	RPL37A	1573	0.8812005519866943	-0.0352327	No	
row_11	RPL32	2033	0.7216066122055054	-0.068279974	No	
row_12	RPL17	2239	0.6615631580352783	-0.08101213	No	
row_13	RPL26	2527	0.593571126461029	-0.10082487	No	
row_14	RIOK3	2672	0.5604553818702698	-0.10919625	No	
row_15	RPS3	2879	0.5178539156913757	-0.122868605	No	
row_16	RPL29	2965	0.4999596178531647	-0.12679929	No	
row_17	RPL7	2973	0.4989164471626282	-0.124387525	No	
row_18	RPS8	3016	0.4923229515552521	-0.12486392	No	
row_19	RPS27L	3021	0.49088940024375916	-0.12225594	No	
row_20	KRR1	3102	0.47835296392440796	-0.12590879	No	
row_21	RPL6	3212	0.46080106496810913	-0.13202693	No	
row_22	RPS14	3442	0.42555052042007446	-0.14812294	No	
row_23	XRN2	4098	0.338376522064209	-0.19941351	No	
row_24	RPL31	4118	0.3362579345703125	-0.19895051	No	
row_25	EXOSC10	4368	0.3069619834423065	-0.21738307	No	
row_26	RPP21	4518	0.2905479669570923	-0.22777438	No	
row_27	RPS7	5012	0.23771019279956818	-0.2664808	No	
row_28	RPS10	5456	0.19581200182437897	-0.30136794	No	
row_29	RPP25	5527	0.1886388659477234	-0.30593815	No	
row_30	BMS1	5552	0.18633845448493958	-0.30677804	No	
row_31	RPS11	5585	0.18389944732189178	-0.30828366	No	
row_32	RPL3	5613	0.181455597281456	-0.3093969	No	
row_33	RPL38	5696	0.17412985861301422	-0.31503057	No	
row_34	UTP14C	5897	0.15778906643390656	-0.3303663	No	
row_35	RPS20	6034	0.1447904258966446	-0.34057054	No	
row_36	RPL35A	6107	0.13966208696365356	-0.34559625	No	
row_37	RPS6	6369	0.11807964742183685	-0.36613432	No	
row_38	RPL39L	6438	0.11397087574005127	-0.37098798	No	
row_39	RRP36	6539	0.10517806559801102	-0.37849876	No	
row_40	RPL22	6708	0.09270263463258743	-0.39161888	No	
row_41	EXOSC3	6751	0.0895245298743248	-0.3945024	No	
row_42	RPL35	6793	0.08720523864030838	-0.3973184	No	
row_43	RPL10A	6859	0.08070540428161621	-0.40212667	No	
row_44	RPS17	7346	0.04773113504052162	-0.44139865	No	
row_45	EXOSC1	7640	0.027631543576717377	-0.4650818	No	
row_46	NOL12	7653	0.026471329852938652	-0.46590033	No	
row_47	RPS15	7654	0.026458116248250008	-0.46574223	No	
row_48	EMG1	7818	0.015234488993883133	-0.4789183	No	
row_49	C1D	7879	0.011713509447872639	-0.48373193	No	
row_50	RPL26L1	7999	0.003477791091427207	-0.49339697	No	
row_51	EXOSC8	8130	-0.005369034130126238	-0.503946	No	
row_52	RPS27A	8212	-0.011017685756087303	-0.5104731	No	
row_53	RPS18	8289	-0.017657436430454254	-0.51655346	No	
row_54	RPL13	8364	-0.02428160235285759	-0.52243143	No	
row_55	RPP14	8436	-0.02930000238120556	-0.5280353	No	
row_56	RPL36AL	8626	-0.04661000892519951	-0.5431401	No	
row_57	RPL18	8786	-0.06229827180504799	-0.55570936	No	
row_58	CSNK1D	8940	-0.07574662566184998	-0.5677099	No	
row_59	RPL36	8981	-0.0793929249048233	-0.5704912	No	
row_60	MPHOSPH10	9026	-0.08419667184352875	-0.57356936	No	
row_61	EXOSC6	9048	-0.08684806525707245	-0.5747596	No	
row_62	EXOSC9	9087	-0.09093663841485977	-0.57730913	No	
row_63	RPL24	9208	-0.10434338450431824	-0.5864528	No	
row_64	RPP30	9303	-0.11593355983495712	-0.59341097	No	
row_65	RPL39	9397	-0.12778912484645844	-0.60021687	No	
row_66	CSNK1E	9480	-0.13638849556446075	-0.60607606	No	
row_67	MTREX	9875	-0.1960490494966507	-0.6369735	No	
row_68	ISG20L2	9881	-0.19658169150352478	-0.6362057	No	
row_69	RPL27A	10082	-0.2285066694021225	-0.6511188	No	
row_70	UTP11	10092	-0.23039278388023376	-0.65047455	No	
row_71	NIP7	10144	-0.240554541349411	-0.65318805	No	
row_72	ERI1	10166	-0.24400070309638977	-0.65343916	No	
row_73	RPS19	10172	-0.24454186856746674	-0.65238476	No	
row_74	RPP38	10187	-0.24829283356666565	-0.6520405	No	
row_75	RPL37	10211	-0.25282925367355347	-0.6524016	No	
row_76	UTP25	10214	-0.25347569584846497	-0.6510496	No	
row_77	RPL30	10228	-0.25687041878700256	-0.65057266	No	
row_78	SENP3	10257	-0.2603014409542084	-0.65129614	No	
row_79	RRP7A	10275	-0.26495224237442017	-0.65109646	No	
row_80	DIS3	10295	-0.26964011788368225	-0.65103155	No	
row_81	RPL21	10382	-0.29011958837509155	-0.6562977	No	
row_82	DDX49	10394	-0.2912839651107788	-0.65545225	No	
row_83	DDX52	10420	-0.2969490885734558	-0.65571254	No	
row_84	MPHOSPH6	10460	-0.30576637387275696	-0.6570596	No	
row_85	RPL27	10565	-0.3319210708141327	-0.663541	No	
row_86	UTP18	10594	-0.3414997458457947	-0.6637792	No	
row_87	RPL14	10757	-0.38968268036842346	-0.6746362	No	
row_88	RPL23	10820	-0.41269615292549133	-0.67721635	Yes	
row_89	FTSJ3	10828	-0.4159870743751526	-0.6753001	Yes	
row_90	NOL11	10856	-0.4283742904663086	-0.6749378	Yes	
row_91	UTP15	10859	-0.42937660217285156	-0.67253464	Yes	
row_92	BUD23	10901	-0.44617921113967896	-0.6732054	Yes	
row_93	RPL22L1	10919	-0.4568946957588196	-0.67185867	Yes	
row_94	FAU	10941	-0.46667009592056274	-0.6707791	Yes	
row_95	UTP3	10946	-0.4687197506427765	-0.6683036	Yes	
row_96	NOL9	10975	-0.48018312454223633	-0.6677131	Yes	
row_97	WDR18	10980	-0.4819026589393616	-0.6651588	Yes	
row_98	RIOK2	10983	-0.4832667112350464	-0.66243356	Yes	
row_99	EXOSC7	11025	-0.5041196346282959	-0.6627581	Yes	
row_100	LAS1L	11045	-0.5104058980941772	-0.6612544	Yes	
row_101	RCL1	11079	-0.5282710194587708	-0.6607834	Yes	
row_102	RPP40	11105	-0.5406121015548706	-0.65958756	Yes	
row_103	NOC4L	11115	-0.5478334426879883	-0.65704626	Yes	
row_104	RPS29	11147	-0.562820553779602	-0.656206	Yes	
row_105	WDR36	11185	-0.5835366249084473	-0.65573037	Yes	
row_106	PELP1	11232	-0.6097220778465271	-0.6558308	Yes	
row_107	RIOK1	11244	-0.6151661276817322	-0.6530499	Yes	
row_108	NOB1	11251	-0.6186659336090088	-0.64984107	Yes	
row_109	UBA52	11349	-0.6689374446868896	-0.6537387	Yes	
row_110	TEX10	11350	-0.6690874099731445	-0.6497402	Yes	
row_111	EXOSC4	11417	-0.7144310474395752	-0.6508427	Yes	
row_112	FBL	11441	-0.7307927012443542	-0.64834756	Yes	
row_113	WDR12	11466	-0.7462883591651917	-0.6458412	Yes	
row_114	RPL4	11474	-0.7518344521522522	-0.641918	Yes	
row_115	WDR75	11476	-0.753343403339386	-0.6374974	Yes	
row_116	HEATR1	11481	-0.7552874684333801	-0.63330936	Yes	
row_117	RBM28	11497	-0.7644187808036804	-0.62996215	Yes	
row_118	UTP14A	11499	-0.7658685445785522	-0.6254667	Yes	
row_119	FCF1	11511	-0.7744393348693848	-0.62173396	Yes	
row_120	RPL10	11518	-0.779304563999176	-0.6175652	Yes	
row_121	PWP2	11524	-0.7882170081138611	-0.6132618	Yes	
row_122	RPS21	11548	-0.8080512285232544	-0.61030495	Yes	
row_123	RPL12	11561	-0.8190054893493652	-0.60638726	Yes	
row_124	RPS27	11598	-0.8527959585189819	-0.6042211	Yes	
row_125	WDR46	11612	-0.867163896560669	-0.60009706	Yes	
