NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYNE2	1	20.15406036376953	0.34751782	Yes	
row_1	SMC1A	56	5.223994255065918	0.43326506	Yes	
row_2	RAD21	76	4.529035568237305	0.5098466	Yes	
row_3	STAG2	252	2.610163450241089	0.5407627	Yes	
row_4	TERF2IP	326	2.2808337211608887	0.5742181	Yes	
row_5	SMC3	423	1.9658116102218628	0.60038686	Yes	
row_6	SYNE1	685	1.5139148235321045	0.605466	Yes	
row_7	MLH1	690	1.5106408596038818	0.6311978	Yes	
row_8	SYCP2	691	1.5104920864105225	0.6572494	Yes	
row_9	H2AZ2	724	1.4708529710769653	0.68003875	Yes	
row_10	RPA1	967	1.2163548469543457	0.6815169	Yes	
row_11	H3-3B	1079	1.1330363750457764	0.69211406	Yes	
row_12	CDK2	1297	1.0002156496047974	0.6918789	Yes	
row_13	MND1	1344	0.984226644039154	0.70514727	Yes	
row_14	BRCA1	1499	0.9107958674430847	0.70844644	Yes	
row_15	RBBP8	1851	0.7742525339126587	0.6935164	No	
row_16	RAD50	2171	0.6822627782821655	0.67957836	No	
row_17	TERF1	2323	0.6378481388092041	0.6784118	No	
row_18	HSPA2	2386	0.6239321827888489	0.6841768	No	
row_19	ATM	2575	0.5815681219100952	0.6790581	No	
row_20	SYCE2	2675	0.5597826242446899	0.68073523	No	
row_21	SUN1	2999	0.4952372908592224	0.6632492	No	
row_22	BLM	3199	0.4621371626853943	0.65518427	No	
row_23	RAD51C	3336	0.44285428524017334	0.65186334	No	
row_24	STAG3	3536	0.41289713978767395	0.6429491	No	
row_25	SUN2	4443	0.2986161410808563	0.57509375	No	
row_26	MLH3	4846	0.2534819543361664	0.5470723	No	
row_27	BRCA2	5046	0.23420833051204681	0.53507626	No	
row_28	POT1	5782	0.16687598824501038	0.47872797	No	
row_29	STAG1	5994	0.1487882286310196	0.4642917	No	
row_30	UBE2I	6119	0.13812577724456787	0.45668203	No	
row_31	TINF2	6240	0.12853902578353882	0.44922933	No	
row_32	CDK4	6360	0.11888094991445541	0.44169062	No	
row_33	MRE11	6636	0.0989566519856453	0.4212378	No	
row_34	H2AX	6649	0.09787636250257492	0.42195892	No	
row_35	H2BC21	6689	0.09430117905139923	0.4204427	No	
row_36	NBN	7177	0.05798108130693436	0.38220015	No	
row_37	RPA3	7424	0.04310424625873566	0.36312085	No	
row_38	H2AJ	7434	0.04171328991651535	0.36311507	No	
row_39	ACD	7468	0.03921239823102951	0.36113223	No	
row_40	PSMC3IP	7576	0.032081928104162216	0.35306346	No	
row_41	H2BC5	7662	0.025840092450380325	0.3466598	No	
row_42	TOP3A	7692	0.02359527349472046	0.34472993	No	
row_43	H2BC12	7726	0.021126803010702133	0.34243518	No	
row_44	TERF2	7854	0.012957977131009102	0.33242497	No	
row_45	RAD51	8211	-0.01097533293068409	0.30392772	No	
row_46	H2AC6	9164	-0.09909861534833908	0.22892456	No	
row_47	FKBP6	9625	-0.15382595360279083	0.19451073	No	
row_48	H2AZ1	9990	-0.21281327307224274	0.16884995	No	
row_49	MSH5	10303	-0.27099984884262085	0.14838289	No	
row_50	REC8	10311	-0.27218177914619446	0.15251316	No	
row_51	LMNB1	10463	-0.3072776794433594	0.14564519	No	
row_52	RPA2	10662	-0.3591645359992981	0.13588485	No	
row_53	ATR	11085	-0.531069278717041	0.11103941	No	
