NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYNE2	1	20.15406036376953	0.42252603	Yes	
row_1	SMC1A	56	5.223994255065918	0.52772295	Yes	
row_2	RAD21	76	4.529035568237305	0.62116295	Yes	
row_3	STAG2	252	2.610163450241089	0.66181725	Yes	
row_4	TERF2IP	326	2.2808337211608887	0.7037712	Yes	
row_5	SMC3	423	1.9658116102218628	0.7372693	Yes	
row_6	SYNE1	685	1.5139148235321045	0.7480183	Yes	
row_7	SYCP2	691	1.5104920864105225	0.7792893	Yes	
row_8	H2AZ2	724	1.4708529710769653	0.80755717	Yes	
row_9	BRCA1	1499	0.9107958674430847	0.7643917	No	
row_10	TERF1	2323	0.6378481388092041	0.7115612	No	
row_11	HSPA2	2386	0.6239321827888489	0.71965677	No	
row_12	SYCE2	2675	0.5597826242446899	0.70822686	No	
row_13	SUN1	2999	0.4952372908592224	0.69262797	No	
row_14	STAG3	3536	0.41289713978767395	0.6581679	No	
row_15	SUN2	4443	0.2986161410808563	0.59154725	No	
row_16	POT1	5782	0.16687598824501038	0.48741227	No	
row_17	STAG1	5994	0.1487882286310196	0.4735585	No	
row_18	UBE2I	6119	0.13812577724456787	0.46647978	No	
row_19	TINF2	6240	0.12853902578353882	0.4595218	No	
row_20	H2AX	6649	0.09787636250257492	0.42875296	No	
row_21	H2BC21	6689	0.09430117905139923	0.42759302	No	
row_22	H2AJ	7434	0.04171328991651535	0.36861733	No	
row_23	ACD	7468	0.03921239823102951	0.36678493	No	
row_24	H2BC5	7662	0.025840092450380325	0.35180107	No	
row_25	H2BC12	7726	0.021126803010702133	0.34717607	No	
row_26	TERF2	7854	0.012957977131009102	0.3372314	No	
row_27	H2AC6	9164	-0.09909861534833908	0.23400812	No	
row_28	FKBP6	9625	-0.15382595360279083	0.2002294	No	
row_29	H2AZ1	9990	-0.21281327307224274	0.17541021	No	
row_30	REC8	10311	-0.27218177914619446	0.15537544	No	
row_31	LMNB1	10463	-0.3072776794433594	0.14967163	No	
row_32	ATR	11085	-0.531069278717041	0.11085176	No	
