NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STMN1	2	18.477523803710938	0.19294405	Yes	
row_1	MYH10	13	9.608388900756836	0.29255277	Yes	
row_2	RHOB	17	8.783363342285156	0.38410413	Yes	
row_3	CIT	18	8.73147201538086	0.47535524	Yes	
row_4	NUSAP1	106	3.980889320373535	0.5099387	Yes	
row_5	SON	141	3.4728527069091797	0.54348946	Yes	
row_6	CUL7	180	3.0406761169433594	0.5722008	Yes	
row_7	CHMP3	198	2.901301860809326	0.60115004	Yes	
row_8	RASA1	339	2.2254066467285156	0.61311066	Yes	
row_9	ESPL1	378	2.103294849395752	0.6320256	Yes	
row_10	ROCK1	445	1.920585036277771	0.6467717	Yes	
row_11	KIF4A	448	1.913263201713562	0.66660553	Yes	
row_12	EXOC2	673	1.5287680625915527	0.6645077	Yes	
row_13	RACGAP1	754	1.431684136390686	0.6730147	Yes	
row_14	CKAP2	885	1.2910892963409424	0.6760179	Yes	
row_15	RHOA	1018	1.1792021989822388	0.6776903	Yes	
row_16	EXOC6B	1080	1.1297967433929443	0.68457556	Yes	
row_17	KIF20A	1275	1.01030433177948	0.6794801	No	
row_18	BIRC5	1494	0.9134427905082703	0.6714357	No	
row_19	PDCD6IP	1553	0.8906052112579346	0.67606324	No	
row_20	INCENP	1595	0.8716534376144409	0.6818644	No	
row_21	EXOC7	1847	0.7747340202331543	0.66970766	No	
row_22	VPS4A	1864	0.771062970161438	0.6764748	No	
row_23	EXOC1	2088	0.7060415744781494	0.6658595	No	
row_24	MITD1	2445	0.6105556488037109	0.64351445	No	
row_25	TRIM36	2483	0.6014530062675476	0.6468146	No	
row_26	EXOC4	2509	0.5969234704971313	0.65103567	No	
row_27	CNTROB	2607	0.576723575592041	0.6492359	No	
row_28	ROCK2	2960	0.5007712841033936	0.6260662	No	
row_29	TTC19	2971	0.4992799162864685	0.6304772	No	
row_30	UNC119	3095	0.4792928397655487	0.62556124	No	
row_31	CENPA	3464	0.4223140478134155	0.6002806	No	
row_32	EFHC1	3495	0.41877615451812744	0.60223645	No	
row_33	ECT2	3724	0.38583630323410034	0.58787125	No	
row_34	CHMP4B	3836	0.37123262882232666	0.5827943	No	
row_35	SNX18	4042	0.34674498438835144	0.5698765	No	
row_36	KLHDC8B	4168	0.3289119005203247	0.56322753	No	
row_37	EXOC5	4202	0.32444071769714355	0.5639554	No	
row_38	STAMBP	4254	0.3169417977333069	0.5631525	No	
row_39	SNX9	4464	0.2957862317562103	0.54937935	No	
row_40	USP8	4665	0.27362385392189026	0.5361008	No	
row_41	ANK3	4826	0.2556059956550598	0.52586156	No	
row_42	APC	4912	0.2476024180650711	0.52159053	No	
row_43	EXOC8	5045	0.23423565924167633	0.5133873	No	
row_44	SNX33	5248	0.21469177305698395	0.49933147	No	
row_45	KIF23	5306	0.2087363749742508	0.49691358	No	
row_46	SPAST	5561	0.1854477971792221	0.4783562	No	
row_47	SEPTIN6	5610	0.18192872405052185	0.47638437	No	
row_48	CHMP5	5707	0.17349998652935028	0.4704513	No	
row_49	CEP55	5756	0.16913960874080658	0.4683458	No	
row_50	CHMP6	6089	0.1409398317337036	0.4430294	No	
row_51	EXOC3	6110	0.1392422616481781	0.4428708	No	
row_52	CHMP1B	6198	0.13159610331058502	0.43722597	No	
row_53	CHMP2A	6259	0.1271667629480362	0.43371353	No	
row_54	ARL3	6509	0.10726020485162735	0.4147425	No	
row_55	CDCA8	6711	0.09249185025691986	0.3994903	No	
row_56	VPS4B	6738	0.09053559601306915	0.3983385	No	
row_57	CHMP4A	7847	0.013399256393313408	0.30907324	No	
row_58	EXOC6	8203	-0.010275943204760551	0.28053543	No	
row_59	RTKN	9032	-0.08495040237903595	0.2146113	No	
row_60	CHMP7	9094	-0.09173360466957092	0.21064787	No	
row_61	JTB	9288	-0.1133631020784378	0.1962593	No	
row_62	CHMP1A	9816	-0.1855803281068802	0.15567476	No	
row_63	BBS4	9817	-0.18592825531959534	0.15761787	No	
row_64	RHOC	10160	-0.24338388442993164	0.1325652	No	
row_65	CHMP2B	10421	-0.2969655394554138	0.11468916	No	
row_66	AURKB	10767	-0.3939940929412842	0.09096842	No	
row_67	PLK1	11486	-0.756393313407898	0.04093743	No	
row_68	RAB35	11494	-0.7628228664398193	0.048344724	No	
row_69	SPTBN1	11534	-0.7931439876556396	0.053486798	No	
row_70	ANLN	12148	-2.0471203327178955	0.025417496	No	
