NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMC4	28	7.519681453704834	0.04447042	Yes	
row_1	TUBA1A	31	7.370640277862549	0.09013083	Yes	
row_2	SMC1A	56	5.223994255065918	0.120654605	Yes	
row_3	PPP2R1B	71	4.637938499450684	0.14834894	Yes	
row_4	RAD21	76	4.529035568237305	0.1761803	Yes	
row_5	NUMA1	88	4.268311977386475	0.2018209	Yes	
row_6	CENPH	99	4.133999347686768	0.22670788	Yes	
row_7	DYNC1H1	103	4.0350213050842285	0.25154936	Yes	
row_8	CENPF	134	3.5564377307891846	0.2712175	Yes	
row_9	CNTRL	151	3.3392558097839355	0.29067513	Yes	
row_10	KNTC1	174	3.0877363681793213	0.3080806	Yes	
row_11	STAG2	252	2.610163450241089	0.31803966	Yes	
row_12	KNL1	270	2.5362370014190674	0.3324235	Yes	
row_13	CKAP5	272	2.5306923389434814	0.34807542	Yes	
row_14	NCAPD2	286	2.4525043964385986	0.36226434	Yes	
row_15	TUBB	290	2.440305233001709	0.37719148	Yes	
row_16	CCP110	299	2.403968095779419	0.39148566	Yes	
row_17	ALMS1	300	2.399362802505493	0.4064025	Yes	
row_18	PPP1CC	324	2.29976224899292	0.41882774	Yes	
row_19	PPP2R5E	344	2.2031052112579346	0.4309777	Yes	
row_20	CLIP1	362	2.1504244804382324	0.44296297	Yes	
row_21	NEK9	387	2.0858585834503174	0.453977	Yes	
row_22	SMC3	423	1.9658116102218628	0.4633492	Yes	
row_23	DYNC1LI2	484	1.839945912361145	0.4699037	Yes	
row_24	PCNT	511	1.7965787649154663	0.47895646	Yes	
row_25	CEP57	521	1.7824857234954834	0.4893055	Yes	
row_26	DYNLL2	531	1.7605249881744385	0.499518	Yes	
row_27	CENPE	537	1.7488367557525635	0.5099835	Yes	
row_28	NCAPG	592	1.6536461114883423	0.51586825	Yes	
row_29	AKAP9	593	1.6487327814102173	0.5261184	Yes	
row_30	CDK5RAP2	717	1.4787230491638184	0.5252986	Yes	
row_31	EML4	727	1.4682029485702515	0.53369373	Yes	
row_32	YWHAE	782	1.4037197828292847	0.53802466	Yes	
row_33	PDS5A	813	1.367116093635559	0.5440818	Yes	
