NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	25	7.576432704925537	0.17090458	Yes	
row_1	MCM6	42	5.998203754425049	0.30651322	Yes	
row_2	PCNA	50	5.647245407104492	0.43483537	Yes	
row_3	MCM4	101	4.115655422210693	0.5247469	Yes	
row_4	MCM2	113	3.889021396636963	0.6126204	Yes	
row_5	LIG1	155	3.241830825805664	0.6833123	Yes	
row_6	GINS3	160	3.178013324737549	0.7555213	Yes	
row_7	CDT1	179	3.0515785217285156	0.8237196	Yes	
row_8	CDC45	532	1.7590051889419556	0.83557564	Yes	
row_9	POLA1	601	1.63704514503479	0.86747235	Yes	
row_10	DONSON	1674	0.8391720056533813	0.80047154	No	
row_11	DNA2	2917	0.5108019709587097	0.7123142	No	
row_12	BLM	3199	0.4621371626853943	0.7002784	No	
row_13	BRCA2	5046	0.23420833051204681	0.5572671	No	
row_14	GINS1	5466	0.19492532312870026	0.52804226	No	
row_15	ZNF830	6694	0.09386371821165085	0.43157482	No	
row_16	UPF1	8557	-0.04023411124944687	0.28285068	No	
row_17	WRN	9503	-0.1403529942035675	0.2101076	No	
row_18	FEN1	9617	-0.15268874168395996	0.20451093	No	
row_19	RTEL1	11055	-0.5150078535079956	0.10077812	No	
row_20	GMNN	11104	-0.538829505443573	0.109218	No	
