NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	1805	0.7855784296989441	-0.13523315	No	
row_1	CMPK1	2050	0.7171067595481873	-0.14524184	No	
row_2	SDHA	2627	0.5730513334274292	-0.18403159	No	
row_3	NDUFB5	3487	0.41961267590522766	-0.24776952	No	
row_4	UCK1	3545	0.41183239221572876	-0.24679948	No	
row_5	NDUFA10	3805	0.3750847280025482	-0.2626516	No	
row_6	NDUFB1	4323	0.31075185537338257	-0.30022496	No	
row_7	AK1	4502	0.2913382947444916	-0.31066507	No	
row_8	SDHD	4877	0.2507324814796448	-0.33749467	No	
row_9	VPS9D1	5044	0.23430368304252625	-0.34773725	No	
row_10	ATP5MG	5168	0.2215849608182907	-0.35467705	No	
row_11	NDUFS7	5350	0.20466436445713043	-0.36653322	No	
row_12	AK5	5433	0.1977679282426834	-0.37048212	No	
row_13	SDHC	5612	0.1816965490579605	-0.38240683	No	
row_14	NDUFA6	5789	0.1661921590566635	-0.39437985	No	
row_15	NDUFV1	5964	0.1514122188091278	-0.40639138	No	
row_16	ATP5F1A	6272	0.125997394323349	-0.4294954	No	
row_17	NDUFV3	6401	0.11620830744504929	-0.43826613	No	
row_18	AK9	6821	0.08469045162200928	-0.4709807	No	
row_19	NDUFC1	7135	0.06072014942765236	-0.49545348	No	
row_20	AK3	7297	0.050938930362463	-0.5077749	No	
row_21	ATP5PD	7552	0.033405058085918427	-0.5278495	No	
row_22	NDUFA1	7841	0.013680227100849152	-0.55093884	No	
row_23	SLC25A13	7878	0.011763992719352245	-0.5536889	No	
row_24	NDUFS5	7998	0.003488758346065879	-0.5632586	No	
row_25	NDUFV2	8256	-0.015452192164957523	-0.5838187	No	
row_26	ATP5PO	8570	-0.04108518734574318	-0.60855734	No	
row_27	AK4	8747	-0.05817551910877228	-0.621993	No	
row_28	PRKAG2	8784	-0.06191863864660263	-0.6240639	No	
row_29	NUDT2	8792	-0.06261876970529556	-0.6237817	No	
row_30	NDUFC2	8852	-0.06857486069202423	-0.62762123	No	
