NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGM1	51	5.542655944824219	0.068545565	No	
row_1	PFKFB2	899	1.2762552499771118	0.017153682	No	
row_2	PNKP	1817	0.7821911573410034	-0.04634359	No	
row_3	ENO3	1937	0.7508739233016968	-0.04607247	No	
row_4	CMPK1	2050	0.7171067595481873	-0.04568096	No	
row_5	AK1	4502	0.2913382947444916	-0.23898321	No	
row_6	NT5C2	5009	0.23821879923343658	-0.27655578	No	
row_7	FOXK2	5017	0.23705936968326569	-0.2740116	No	
row_8	AK5	5433	0.1977679282426834	-0.3047957	No	
row_9	PFKM	5463	0.1951083540916443	-0.30457076	No	
row_10	AK9	6821	0.08469045162200928	-0.41259697	No	
row_11	ENO2	7365	0.046907808631658554	-0.45565274	No	
row_12	PFKL	7602	0.030347300693392754	-0.47423518	No	
row_13	HK1	8231	-0.013060657307505608	-0.5245707	No	
row_14	AK4	8747	-0.05817551910877228	-0.56522685	No	
row_15	FOXK1	9623	-0.1534270942211151	-0.6335875	No	
row_16	ADPGK	10372	-0.28718167543411255	-0.68998104	No	
row_17	GPI	11932	-1.3239103555679321	-0.79801065	Yes	
row_18	HK2	11952	-1.3644965887069702	-0.78165436	Yes	
row_19	PGK1	12014	-1.5176301002502441	-0.7666688	Yes	
row_20	PGAM1	12191	-2.3273282051086426	-0.75031936	Yes	
row_21	ALDOC	12214	-2.5060110092163086	-0.71924263	Yes	
row_22	GAPDH	12267	-3.025794506072998	-0.6837658	Yes	
row_23	PFKP	12352	-4.409987449645996	-0.63272005	Yes	
row_24	TPI1	12372	-5.071341514587402	-0.5677784	Yes	
row_25	NME2	12381	-5.443864345550537	-0.49706945	Yes	
row_26	PKM	12400	-6.373275279998779	-0.414983	Yes	
row_27	ENO1	12403	-6.5965256690979	-0.3286836	Yes	
row_28	ALDOA	12431	-9.879666328430176	-0.20136297	Yes	
row_29	LDHA	12452	-15.553306579589844	8.84673E-4	Yes	
