NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBTF	161	3.173757553100586	0.011311902	No	
row_1	CREBBP	187	2.9694058895111084	0.03202066	No	
row_2	HUWE1	210	2.8559300899505615	0.05210281	No	
row_3	RPL11	288	2.4489645957946777	0.06463801	No	
row_4	CDCA7	479	1.8461476564407349	0.063453086	No	
row_5	BMI1	617	1.6127585172653198	0.06475356	No	
row_6	TRRAP	785	1.3983436822891235	0.061995428	No	
row_7	EP300	999	1.1923609972000122	0.05395371	No	
row_8	BIRC5	1494	0.9134427905082703	0.021130873	No	
row_9	PIM1	1717	0.8196325302124023	0.009511486	No	
row_10	E2F3	2511	0.5968526005744934	-0.049831435	No	
row_11	IREB2	2526	0.5936012268066406	-0.046417166	No	
row_12	BAX	2790	0.5367881059646606	-0.06350536	No	
row_13	PMAIP1	3401	0.43285247683525085	-0.10935476	No	
row_14	SUPT7L	3701	0.3889613151550293	-0.13047555	No	
row_15	SHMT1	3986	0.3533937931060791	-0.15065965	No	
row_16	PFKM	5463	0.1951083540916443	-0.26812208	No	
row_17	SMAD4	5864	0.16050010919570923	-0.2991311	No	
row_18	CDK4	6360	0.11888094991445541	-0.33811498	No	
row_19	TAF12	6970	0.07268380373716354	-0.38663998	No	
row_20	NBN	7177	0.05798108130693436	-0.40279847	No	
row_21	TK1	7181	0.057543620467185974	-0.4025999	No	
row_22	SNAI1	7318	0.04960948973894119	-0.41318092	No	
row_23	ACTL6A	7369	0.04670457914471626	-0.4168532	No	
row_24	CCND2	7797	0.016195023432374	-0.45114252	No	
row_25	NDUFAF2	7826	0.014837834984064102	-0.45328557	No	
row_26	PEG10	8157	-0.0072385286912322044	-0.47982594	No	
row_27	PRDX3	8214	-0.011073325760662556	-0.48425442	No	
row_28	TAF10	8648	-0.04872272163629532	-0.5187784	No	
row_29	MMP9	9021	-0.08390352129936218	-0.548117	No	
row_30	TERT	9166	-0.09946376085281372	-0.5589613	No	
row_31	PDCD10	9477	-0.1362321972846985	-0.5829026	No	
row_32	TAF4B	9772	-0.1758442372083664	-0.6052513	No	
row_33	CCNB1	9790	-0.17858955264091492	-0.60525477	No	
row_34	POLR3D	9893	-0.19819402694702148	-0.61195856	No	
row_35	MAX	10056	-0.22350972890853882	-0.62330425	No	
row_36	ID2	10124	-0.23657186329364777	-0.6268936	No	
row_37	MTDH	10174	-0.24470989406108856	-0.62896997	No	
row_38	GPAM	10915	-0.4542810320854187	-0.6851325	No	
row_39	HSPA4	11082	-0.5295652747154236	-0.6944584	No	
row_40	KAT2A	11102	-0.5378546714782715	-0.6918737	No	
row_41	CAD	11945	-1.3486725091934204	-0.74941236	Yes	
row_42	EIF4E	11971	-1.3977208137512207	-0.74073106	Yes	
row_43	NCL	12025	-1.5464966297149658	-0.7331678	Yes	
row_44	RUVBL1	12090	-1.8050849437713623	-0.7245122	Yes	
row_45	RCC1	12110	-1.8750264644622803	-0.7116947	Yes	
row_46	RUVBL2	12116	-1.9165281057357788	-0.6974313	Yes	
row_47	EIF2S1	12182	-2.2621798515319824	-0.6853584	Yes	
row_48	HSPD1	12342	-4.228322982788086	-0.6658152	Yes	
row_49	NME2	12381	-5.443864345550537	-0.6272182	Yes	
row_50	BCAT1	12382	-5.487804412841797	-0.58522236	Yes	
row_51	EIF4G1	12395	-6.160963535308838	-0.5390423	Yes	
row_52	EIF4A1	12437	-11.35508918762207	-0.45545098	Yes	
row_53	HMGA1	12451	-15.286172866821289	-0.33952022	Yes	
row_54	FOSL1	12458	-20.080995559692383	-0.18633255	Yes	
row_55	MYC	12461	-24.391151428222656	1.6124899E-4	Yes	
