NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	1805	0.7855784296989441	-0.13487792	No	
row_1	SAMHD1	2082	0.7077896595001221	-0.14725234	No	
row_2	SDHA	2627	0.5730513334274292	-0.18318173	No	
row_3	LRRK2	2886	0.5167791843414307	-0.1967825	No	
row_4	MFN1	3140	0.47156089544296265	-0.21061386	No	
row_5	NDUFB5	3487	0.41961267590522766	-0.23269205	No	
row_6	RHOQ	3568	0.40889498591423035	-0.23341878	No	
row_7	NDUFA10	3805	0.3750847280025482	-0.24723028	No	
row_8	GTPBP1	4148	0.3329414427280426	-0.2702018	No	
row_9	NDUFB1	4323	0.31075185537338257	-0.27990466	No	
row_10	SDHD	4877	0.2507324814796448	-0.32108623	No	
row_11	EFL1	4982	0.24025188386440277	-0.32612038	No	
row_12	VPS9D1	5044	0.23430368304252625	-0.32776216	No	
row_13	ATP5MG	5168	0.2215849608182907	-0.3345942	No	
row_14	NDUFS7	5350	0.20466436445713043	-0.34635213	No	
row_15	SDHC	5612	0.1816965490579605	-0.36489922	No	
row_16	NDUFA6	5789	0.1661921590566635	-0.3767931	No	
row_17	NDUFV1	5964	0.1514122188091278	-0.38873273	No	
row_18	ATP5F1A	6272	0.125997394323349	-0.4117801	No	
row_19	NDUFV3	6401	0.11620830744504929	-0.42049557	No	
row_20	AK9	6821	0.08469045162200928	-0.45317623	No	
row_21	NDUFC1	7135	0.06072014942765236	-0.47762495	No	
row_22	AK3	7297	0.050938930362463	-0.4899242	No	
row_23	NUDT16	7433	0.04182140901684761	-0.50024974	No	
row_24	NUDT15	7546	0.0338994637131691	-0.50882727	No	
row_25	ATP5PD	7552	0.033405058085918427	-0.50876254	No	
row_26	NDUFA1	7841	0.013680227100849152	-0.53185076	No	
row_27	SLC25A13	7878	0.011763992719352245	-0.5345956	No	
row_28	GNAI3	7885	0.011203745380043983	-0.5349234	No	
row_29	NDUFS5	7998	0.003488758346065879	-0.5439278	No	
row_30	NDUFV2	8256	-0.015452192164957523	-0.56448525	No	
row_31	ATP5PO	8570	-0.04108518734574318	-0.5892096	No	
