NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGM1	51	5.542655944824219	0.07530628	No	
row_1	PFKFB2	899	1.2762552499771118	0.025481937	No	
row_2	ENO3	1937	0.7508739233016968	-0.04714755	No	
row_3	ENTPD4	2457	0.6069469451904297	-0.080185756	No	
row_4	NUDT18	4375	0.30581134557724	-0.22995377	No	
row_5	FOXK2	5017	0.23705936968326569	-0.2781014	No	
row_6	AK5	5433	0.1977679282426834	-0.30863896	No	
row_7	PFKM	5463	0.1951083540916443	-0.30817565	No	
row_8	AK9	6821	0.08469045162200928	-0.416081	No	
row_9	ENO2	7365	0.046907808631658554	-0.45907253	No	
row_10	NUDT16	7433	0.04182140901684761	-0.46386096	No	
row_11	PFKL	7602	0.030347300693392754	-0.47693536	No	
row_12	HK1	8231	-0.013060657307505608	-0.52724683	No	
row_13	BAD	8996	-0.08116209506988525	-0.5875186	No	
row_14	FOXK1	9623	-0.1534270942211151	-0.6356582	No	
row_15	ADPGK	10372	-0.28718167543411255	-0.6916918	No	
row_16	GPI	11932	-1.3239103555679321	-0.7980866	Yes	
row_17	HK2	11952	-1.3644965887069702	-0.78006583	Yes	
row_18	PGK1	12014	-1.5176301002502441	-0.76322854	Yes	
row_19	PGAM1	12191	-2.3273282051086426	-0.74403834	Yes	
row_20	ALDOC	12214	-2.5060110092163086	-0.70990485	Yes	
row_21	GAPDH	12267	-3.025794506072998	-0.67073697	Yes	
row_22	PFKP	12352	-4.409987449645996	-0.6143115	Yes	
row_23	TPI1	12372	-5.071341514587402	-0.5431844	Yes	
row_24	PKM	12400	-6.373275279998779	-0.45404828	Yes	
row_25	ENO1	12403	-6.5965256690979	-0.35970348	Yes	
row_26	ALDOA	12431	-9.879666328430176	-0.2203328	Yes	
row_27	LDHA	12452	-15.553306579589844	8.8459265E-4	Yes	
