NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	1805	0.7855784296989441	-0.13320513	No	
row_1	SDHA	2627	0.5730513334274292	-0.1903539	No	
row_2	NDUFB5	3487	0.41961267590522766	-0.2530168	No	
row_3	NDUFA10	3805	0.3750847280025482	-0.2726305	No	
row_4	NDUFB1	4323	0.31075185537338257	-0.3094171	No	
row_5	SDHD	4877	0.2507324814796448	-0.35006702	No	
row_6	VPS9D1	5044	0.23430368304252625	-0.3597339	No	
row_7	ATP5MG	5168	0.2215849608182907	-0.3661319	No	
row_8	NDUFS7	5350	0.20466436445713043	-0.37748235	No	
row_9	SDHC	5612	0.1816965490579605	-0.3956579	No	
row_10	NDUFA6	5789	0.1661921590566635	-0.407218	No	
row_11	NDUFV1	5964	0.1514122188091278	-0.41885227	No	
row_12	ATP5F1A	6272	0.125997394323349	-0.44162962	No	
row_13	NDUFV3	6401	0.11620830744504929	-0.45011124	No	
row_14	AK9	6821	0.08469045162200928	-0.4825896	No	
row_15	NDUFC1	7135	0.06072014942765236	-0.506892	No	
row_16	ATP5PD	7552	0.033405058085918427	-0.5399458	No	
row_17	NDUFA1	7841	0.013680227100849152	-0.56297976	No	
row_18	SLC25A13	7878	0.011763992719352245	-0.56569874	No	
row_19	NDUFS5	7998	0.003488758346065879	-0.57525074	No	
row_20	NDUFV2	8256	-0.015452192164957523	-0.5957536	No	
row_21	ATP5PO	8570	-0.04108518734574318	-0.6203691	No	
row_22	PRKAG2	8784	-0.06191863864660263	-0.6365788	No	
row_23	NUDT2	8792	-0.06261876970529556	-0.63614565	No	
row_24	NDUFC2	8852	-0.06857486069202423	-0.63981587	No	
row_25	NDUFB10	8853	-0.06859392672777176	-0.63872236	No	
row_26	NDUFS2	8904	-0.07330241799354553	-0.64159054	No	
row_27	NDUFA7	8944	-0.07635743916034698	-0.64352196	No	
row_28	ATP5MC2	8946	-0.07671423256397247	-0.6423797	No	
row_29	ATP5PF	8948	-0.07683318853378296	-0.64123553	No	
row_30	ATP5ME	8998	-0.08128581196069717	-0.64389575	No	
row_31	NDUFAB1	9046	-0.08675497770309448	-0.64630723	No	
row_32	NDUFB6	9095	-0.09182395786046982	-0.6487187	No	
row_33	ATP5PB	9128	-0.09429863095283508	-0.6497989	No	
row_34	NDUFA2	9189	-0.10187789797782898	-0.65301895	No	
row_35	NDUFA8	9241	-0.10859365016222	-0.6554053	No	
row_36	NDUFA5	9308	-0.11653188616037369	-0.65887606	No	
row_37	ATP5MF	9451	-0.13336028158664703	-0.66821456	No	
row_38	NDUFS8	9482	-0.13655391335487366	-0.66845965	No	
row_39	STOML2	9673	-0.16236752271652222	-0.68121105	No	
row_40	NDUFS3	9703	-0.16643841564655304	-0.680899	No	
row_41	NDUFA3	9781	-0.1776546984910965	-0.6842835	No	
row_42	NDUFA13	9797	-0.18001258373260498	-0.6826247	No	
row_43	NDUFB11	9977	-0.21127741038799286	-0.6937083	No	
row_44	NDUFB8	10031	-0.21957552433013916	-0.69448674	No	
row_45	ATP5F1EP2	10063	-0.22468462586402893	-0.6934076	No	
row_46	IMPDH1	10080	-0.22825780510902405	-0.6910604	No	
row_47	NDUFB2	10101	-0.23136335611343384	-0.6889867	No	
row_48	NDUFB7	10310	-0.27217352390289307	-0.7014408	No	
row_49	NDUFS1	10390	-0.29084858298301697	-0.70318216	No	
row_50	ATP5F1C	10392	-0.2909660339355469	-0.69862425	No	
row_51	ATP5MJ	10410	-0.294459730386734	-0.69530237	No	
row_52	ATP5MK	10450	-0.3022671341896057	-0.69363225	No	
row_53	NDUFB3	10575	-0.3349362313747406	-0.69830394	No	
row_54	NDUFA12	10689	-0.3686787486076355	-0.70154953	No	
row_55	NDUFB4	10711	-0.37605738639831543	-0.69724977	No	
row_56	NDUFS6	10714	-0.3772987723350525	-0.69139624	No	
row_57	ATP5F1B	10927	-0.4601925313472748	-0.7011758	No	
row_58	MT-ND6	10943	-0.46753859519958496	-0.69493324	No	
row_59	ATP5MC3	11222	-0.601794958114624	-0.70778394	Yes	
row_60	SDHB	11257	-0.6207859516143799	-0.7006322	Yes	
row_61	NDUFA9	11280	-0.6337454915046692	-0.6923051	Yes	
row_62	ATP5F1E	11438	-0.7284639477729797	-0.6933673	Yes	
row_63	NDUFA11	11454	-0.7389846444129944	-0.68279725	Yes	
row_64	ATP5F1D	11597	-0.851831316947937	-0.68068165	Yes	
row_65	MT-ND5	11623	-0.8774257302284241	-0.6687119	Yes	
row_66	MT-ND4	11669	-0.9237276315689087	-0.6576187	Yes	
row_67	MT-ATP6	11893	-1.2431378364562988	-0.6558044	Yes	
row_68	TGFB1	12144	-2.0374717712402344	-0.6435065	Yes	
row_69	MT-ND3	12185	-2.292919874191284	-0.61018157	Yes	
row_70	NDUFB9	12293	-3.363471031188965	-0.56519896	Yes	
row_71	ATP5MC1	12295	-3.3813343048095703	-0.51137346	Yes	
row_72	MT-ND2	12299	-3.4529685974121094	-0.45656747	Yes	
row_73	MT-ND1	12307	-3.6109540462493896	-0.39956573	Yes	
row_74	MT-ATP8	12317	-3.7984304428100586	-0.33973667	Yes	
row_75	MT-ND4L	12386	-5.6465229988098145	-0.25520825	Yes	
row_76	IMPDH2	12402	-6.508413791656494	-0.15266027	Yes	
row_77	ALDOA	12431	-9.879666328430176	0.0025836118	Yes	
