NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBA1A	31	7.370640277862549	0.10904149	Yes	
row_1	NUMA1	88	4.268311977386475	0.16911519	Yes	
row_2	DYNC1H1	103	4.0350213050842285	0.22904927	Yes	
row_3	CNTRL	151	3.3392558097839355	0.27578962	Yes	
row_4	CKAP5	272	2.5306923389434814	0.30439976	Yes	
row_5	TUBB	290	2.440305233001709	0.33995783	Yes	
row_6	CCP110	299	2.403968095779419	0.37569264	Yes	
row_7	ALMS1	300	2.399362802505493	0.41200364	Yes	
row_8	PCNT	511	1.7965787649154663	0.4222377	Yes	
row_9	CEP57	521	1.7824857234954834	0.4484865	Yes	
row_10	AKAP9	593	1.6487327814102173	0.4677055	Yes	
row_11	CDK5RAP2	717	1.4787230491638184	0.48015332	Yes	
row_12	YWHAE	782	1.4037197828292847	0.49622953	Yes	
row_13	DYNLL1	881	1.2937406301498413	0.5078963	Yes	
row_14	CLASP1	908	1.2699946165084839	0.5250168	Yes	
row_15	PCM1	926	1.2519983053207397	0.5425915	Yes	
row_16	NINL	964	1.2175780534744263	0.5580306	Yes	
row_17	TUBGCP3	1037	1.1675301790237427	0.5698865	Yes	
row_18	PRKACA	1155	1.0867432355880737	0.5768867	Yes	
row_19	CEP70	1482	0.9185332655906677	0.5644674	Yes	
row_20	SFI1	1493	0.9134688377380371	0.5774841	Yes	
row_21	PAFAH1B1	1496	0.9127796292304993	0.5911363	Yes	
row_22	DCTN3	1603	0.8689897060394287	0.5957292	Yes	
row_23	CDK1	1614	0.8645190596580505	0.60800505	Yes	
row_24	DYNC1I2	1683	0.833640992641449	0.61513096	Yes	
row_25	DCTN2	1713	0.8207549452781677	0.6252106	Yes	
row_26	HAUS5	1822	0.7816479802131653	0.6283202	Yes	
row_27	TUBGCP6	1856	0.7733542323112488	0.63735956	Yes	
row_28	HAUS6	1884	0.7668519020080566	0.6467849	Yes	
row_29	CENPJ	1992	0.7351189255714417	0.64927113	Yes	
row_30	CEP63	2013	0.7278863191604614	0.6586719	Yes	
row_31	NEDD1	2365	0.6280867457389832	0.6398387	No	
row_32	CEP78	2568	0.5836026668548584	0.632362	No	
row_33	TUBG1	2680	0.5591886043548584	0.63186276	No	
row_34	TUBG2	2761	0.5432850122451782	0.63362575	No	
row_35	NDE1	2788	0.5378217697143555	0.6396658	No	
row_36	PRKAR2B	3076	0.48113182187080383	0.6237757	No	
row_37	PLK4	3101	0.47861599922180176	0.6290812	No	
row_38	TUBB4A	3156	0.4690241515636444	0.6318195	No	
row_39	CEP131	3160	0.46819692850112915	0.63866276	No	
row_40	HAUS4	3234	0.45746171474456787	0.63969207	No	
row_41	CEP290	3288	0.44965851306915283	0.642218	No	
row_42	OFD1	3344	0.4415415823459625	0.6444596	No	
row_43	CEP192	3485	0.4198245406150818	0.63951	No	
row_44	HAUS3	3864	0.3670713007450104	0.6145468	No	
row_45	HAUS1	3925	0.3602771461009979	0.61515486	No	
row_46	HAUS8	3976	0.35541799664497375	0.6164968	No	
row_47	CEP152	4858	0.25248846411705017	0.54918915	No	
row_48	ACTR1A	4938	0.24478527903556824	0.54651546	No	
row_49	TUBGCP2	5061	0.23211133480072021	0.54017836	No	
row_50	CEP135	5251	0.21395280957221985	0.52815706	No	
row_51	TUBGCP5	5478	0.19355888664722443	0.5128399	No	
row_52	MZT2A	5584	0.1841311901807785	0.50714916	No	
row_53	CEP164	5666	0.1770646721124649	0.5032891	No	
row_54	CEP72	6099	0.1403486579656601	0.470535	No	
row_55	CETN2	6806	0.0853225588798523	0.41482642	No	
row_56	TUBB4B	6948	0.0747750923037529	0.40457422	No	
row_57	SSNA1	7084	0.06430387496948242	0.39464796	No	
row_58	HAUS2	7802	0.015760479494929314	0.33699852	No	
row_59	NEK2	7814	0.015423785895109177	0.33634385	No	
row_60	CEP76	7863	0.012558131478726864	0.33265856	No	
row_61	CEP250	7927	0.008336225524544716	0.32769832	No	
row_62	MZT1	8068	-9.543870692141354E-4	0.31640968	No	
row_63	TUBGCP4	8326	-0.02032359130680561	0.29596803	No	
row_64	CEP41	8423	-0.028028061613440514	0.28864148	No	
row_65	HAUS7	8658	-0.04952871799468994	0.27049875	No	
row_66	CEP43	8711	-0.054705727845430374	0.26712835	No	
row_67	SDCCAG8	8874	-0.07121366262435913	0.25512677	No	
row_68	CSNK1D	8940	-0.07574662566184998	0.25102526	No	
row_69	YWHAG	9114	-0.09340498596429825	0.23847142	No	
row_70	PPP2R1A	9317	-0.11804251372814178	0.22394909	No	
row_71	CSNK1E	9480	-0.13638849556446075	0.21293385	No	
row_72	ODF2	9579	-0.14875169098377228	0.20727284	No	
row_73	NME7	9645	-0.15712197124958038	0.2044028	No	
row_74	HSP90AA1	9691	-0.16541893780231476	0.20327306	No	
row_75	MAPRE1	10127	-0.23726747930049896	0.17174347	No	
row_76	MZT2B	10616	-0.3467909097671509	0.13759233	No	
row_77	PLK1	11486	-0.756393313407898	0.07887943	No	
