NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM3	25	7.576432704925537	0.121926785	Yes	
row_1	MCM6	42	5.998203754425049	0.21876077	Yes	
row_2	PCNA	50	5.647245407104492	0.31057853	Yes	
row_3	MCM4	101	4.115655422210693	0.3738776	Yes	
row_4	MCM2	113	3.889021396636963	0.43661088	Yes	
row_5	GINS3	160	3.178013324737549	0.48489356	Yes	
row_6	E2F8	171	3.1041908264160156	0.5348686	Yes	
row_7	CDT1	179	3.0515785217285156	0.5842246	Yes	
row_8	MCM5	245	2.635315179824829	0.6220989	Yes	
row_9	CDC7	409	1.9997353553771973	0.6416816	Yes	
row_10	GINS2	471	1.858998417854309	0.66717863	Yes	
row_11	TIMELESS	489	1.8274873495101929	0.6957045	Yes	
row_12	ATRX	743	1.4431490898132324	0.6989324	Yes	
row_13	CHTF18	755	1.4294095039367676	0.7214296	Yes	
row_14	TICRR	790	1.3946528434753418	0.74150544	Yes	
row_15	RFC4	987	1.2037932872772217	0.7454093	Yes	
row_16	DONSON	1674	0.8391720056533813	0.7038769	No	
row_17	MCM7	1816	0.7822602987289429	0.70531553	No	
row_18	KAT7	2235	0.6620866060256958	0.68247473	No	
row_19	WIZ	3114	0.4759748578071594	0.6195345	No	
row_20	BLM	3199	0.4621371626853943	0.6203279	No	
row_21	FBXO5	3214	0.46012669801712036	0.6267272	No	
row_22	RFC5	3422	0.4291204810142517	0.61707234	No	
row_23	DSCC1	4217	0.3219436705112457	0.5583789	No	
row_24	RFC3	4990	0.23972930014133453	0.5001127	No	
row_25	DBF4B	5081	0.23007719218730927	0.49662656	No	
row_26	SMARCAL1	5131	0.22497446835041046	0.4963597	No	
row_27	GINS1	5466	0.19492532312870026	0.47264332	No	
row_28	CHTF8	5515	0.18975840508937836	0.4718809	No	
row_29	RFC2	5963	0.15144632756710052	0.43835065	No	
row_30	ZNF830	6694	0.09386371821165085	0.38108155	No	
row_31	NBN	7177	0.05798108130693436	0.34320292	No	
row_32	GINS4	7241	0.05411133915185928	0.33901322	No	
row_33	ZRANB3	7259	0.05337733402848244	0.33851698	No	
row_34	FBH1	7948	0.00727702584117651	0.28321472	No	
row_35	METTL4	8067	-9.45732113905251E-4	0.2737248	No	
row_36	SLFN11	8337	-0.021564999595284462	0.25240847	No	
row_37	MCIDAS	8854	-0.06887970864772797	0.21196929	No	
row_38	POLG2	9149	-0.09714282304048538	0.18987547	No	
row_39	INO80	9216	-0.10541939735412598	0.18628342	No	
row_40	WRNIP1	9281	-0.11242087185382843	0.182967	No	
row_41	DBF4	9442	-0.13201995193958282	0.172238	No	
row_42	STOML2	9673	-0.16236752271652222	0.15636666	No	
row_43	TIPIN	9767	-0.17455936968326569	0.15173069	No	
row_44	ENDOG	9966	-0.20946551859378815	0.13920754	No	
row_45	BCL6	10492	-0.3127618730068207	0.10203296	No	
row_46	E2F7	10969	-0.477975457906723	0.071508214	No	
row_47	GMNN	11104	-0.538829505443573	0.0695285	No	
row_48	LIG3	11330	-0.6594151258468628	0.06219098	No	
row_49	SSBP1	12084	-1.772537112236023	0.03053007	No	
