NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYNE2	1	20.15406036376953	0.32603168	Yes	
row_1	SMC1A	56	5.223994255065918	0.4062072	Yes	
row_2	RAD21	76	4.529035568237305	0.4779595	Yes	
row_3	B4GALT1	204	2.8768820762634277	0.5142708	Yes	
row_4	STAG2	252	2.610163450241089	0.5527164	Yes	
row_5	TERF2IP	326	2.2808337211608887	0.58373684	Yes	
row_6	SMC3	423	1.9658116102218628	0.6078055	Yes	
row_7	SYNE1	685	1.5139148235321045	0.6112588	Yes	
row_8	MLH1	690	1.5106408596038818	0.63537997	Yes	
row_9	SYCP2	691	1.5104920864105225	0.65982115	Yes	
row_10	H2AZ2	724	1.4708529710769653	0.681041	Yes	
row_11	RPA1	967	1.2163548469543457	0.68121135	Yes	
row_12	H3-3B	1079	1.1330363750457764	0.69059557	Yes	
row_13	CDK2	1297	1.0002156496047974	0.68928427	Yes	
row_14	MND1	1344	0.984226644039154	0.7015012	Yes	
row_15	BRCA1	1499	0.9107958674430847	0.70382243	Yes	
row_16	RBBP8	1851	0.7742525339126587	0.688051	No	
row_17	RAD50	2171	0.6822627782821655	0.6733711	No	
row_18	TERF1	2323	0.6378481388092041	0.6715176	No	
row_19	HSPA2	2386	0.6239321827888489	0.67661464	No	
row_20	ATM	2575	0.5815681219100952	0.6708673	No	
row_21	SYCE2	2675	0.5597826242446899	0.67194325	No	
row_22	SUN1	2999	0.4952372908592224	0.6539146	No	
row_23	BLM	3199	0.4621371626853943	0.6453479	No	
row_24	CATSPER2	3226	0.45831766724586487	0.65066767	No	
row_25	RAD51C	3336	0.44285428524017334	0.6490453	No	
row_26	STAG3	3536	0.41289713978767395	0.6396818	No	
row_27	SUN2	4443	0.2986161410808563	0.5714669	No	
row_28	CD9	4479	0.2943401634693146	0.5734077	No	
row_29	MLH3	4846	0.2534819543361664	0.5480003	No	
row_30	BRCA2	5046	0.23420833051204681	0.5357455	No	
row_31	POT1	5782	0.16687598824501038	0.47918588	No	
row_32	STAG1	5994	0.1487882286310196	0.4645814	No	
row_33	UBE2I	6119	0.13812577724456787	0.45681882	No	
row_34	TINF2	6240	0.12853902578353882	0.44922364	No	
row_35	CDK4	6360	0.11888094991445541	0.4415528	No	
row_36	IZUMO4	6619	0.09987464547157288	0.42236742	No	
row_37	MRE11	6636	0.0989566519856453	0.42267865	No	
row_38	H2AX	6649	0.09787636250257492	0.42329487	No	
row_39	H2BC21	6689	0.09430117905139923	0.42167637	No	
row_40	NBN	7177	0.05798108130693436	0.38334984	No	
row_41	RPA3	7424	0.04310424625873566	0.3642134	No	
row_42	H2AJ	7434	0.04171328991651535	0.36416274	No	
row_43	ACD	7468	0.03921239823102951	0.36213657	No	
row_44	PSMC3IP	7576	0.032081928104162216	0.35402876	No	
row_45	H2BC5	7662	0.025840092450380325	0.3475937	No	
row_46	TOP3A	7692	0.02359527349472046	0.34563735	No	
row_47	H2BC12	7726	0.021126803010702133	0.34331855	No	
row_48	TERF2	7854	0.012957977131009102	0.33328876	No	
row_49	ADAM21	7955	0.006713240873068571	0.32533482	No	
row_50	CATSPER1	7975	0.005295016337186098	0.3238886	No	
row_51	RAD51	8211	-0.01097533293068409	0.3051192	No	
row_52	ZP1	8972	-0.07868973910808563	0.24511695	No	
row_53	H2AC6	9164	-0.09909861534833908	0.23132096	No	
row_54	FKBP6	9625	-0.15382595360279083	0.19672221	No	
row_55	H2AZ1	9990	-0.21281327307224274	0.170818	No	
row_56	MSH5	10303	-0.27099984884262085	0.15004784	No	
row_57	REC8	10311	-0.27218177914619446	0.15388763	No	
row_58	LMNB1	10463	-0.3072776794433594	0.1466852	No	
row_59	RPA2	10662	-0.3591645359992981	0.13653295	No	
row_60	ATR	11085	-0.531069278717041	0.11110214	No	
