NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	1805	0.7855784296989441	-0.13403852	No	
row_1	SDHA	2627	0.5730513334274292	-0.19177906	No	
row_2	NDUFB5	3487	0.41961267590522766	-0.2548837	No	
row_3	UCK1	3545	0.41183239221572876	-0.25332803	No	
row_4	NDUFA10	3805	0.3750847280025482	-0.26863727	No	
row_5	NDUFB1	4323	0.31075185537338257	-0.3057471	No	
row_6	SDHD	4877	0.2507324814796448	-0.34666228	No	
row_7	VPS9D1	5044	0.23430368304252625	-0.3565656	No	
row_8	ATP5MG	5168	0.2215849608182907	-0.36318606	No	
row_9	NDUFS7	5350	0.20466436445713043	-0.3747442	No	
row_10	SDHC	5612	0.1816965490579605	-0.39310738	No	
row_11	NDUFA6	5789	0.1661921590566635	-0.4048371	No	
row_12	NDUFV1	5964	0.1514122188091278	-0.4166263	No	
row_13	ATP5F1A	6272	0.125997394323349	-0.4395379	No	
row_14	NDUFV3	6401	0.11620830744504929	-0.4481383	No	
row_15	AK9	6821	0.08469045162200928	-0.4807138	No	
row_16	NDUFC1	7135	0.06072014942765236	-0.5050863	No	
row_17	ATP5PD	7552	0.033405058085918427	-0.5381866	No	
row_18	NDUFA1	7841	0.013680227100849152	-0.5612434	No	
row_19	SLC25A13	7878	0.011763992719352245	-0.56397516	No	
row_20	NDUFS5	7998	0.003488758346065879	-0.5735345	No	
row_21	NDUFV2	8256	-0.015452192164957523	-0.594061	No	
row_22	ATP5PO	8570	-0.04108518734574318	-0.6187272	No	
row_23	PRKAG2	8784	-0.06191863864660263	-0.6350049	No	
row_24	NUDT2	8792	-0.06261876970529556	-0.6346337	No	
row_25	NDUFC2	8852	-0.06857486069202423	-0.63837343	No	
row_26	NDUFB10	8853	-0.06859392672777176	-0.6373475	No	
row_27	NDUFS2	8904	-0.07330241799354553	-0.64028966	No	
row_28	NDUFA7	8944	-0.07635743916034698	-0.6422976	No	
row_29	ATP5MC2	8946	-0.07671423256397247	-0.641231	No	
row_30	ATP5PF	8948	-0.07683318853378296	-0.64016265	No	
row_31	CTPS2	8969	-0.07864715158939362	-0.64060175	No	
row_32	ATP5ME	8998	-0.08128581196069717	-0.6416475	No	
row_33	NDUFAB1	9046	-0.08675497770309448	-0.64414614	No	
row_34	NDUFB6	9095	-0.09182395786046982	-0.6466497	No	
row_35	ATP5PB	9128	-0.09429863095283508	-0.6478239	No	
row_36	NDUFA2	9189	-0.10187789797782898	-0.65114635	No	
row_37	NDUFA8	9241	-0.10859365016222	-0.6536414	No	
row_38	NDUFA5	9308	-0.11653188616037369	-0.65722924	No	
row_39	ATP5MF	9451	-0.13336028158664703	-0.6667039	No	
row_40	NDUFS8	9482	-0.13655391335487366	-0.6670846	No	
row_41	STOML2	9673	-0.16236752271652222	-0.6800023	No	
row_42	NDUFS3	9703	-0.16643841564655304	-0.6798553	No	
row_43	NDUFA3	9781	-0.1776546984910965	-0.6834174	No	
row_44	NDUFA13	9797	-0.18001258373260498	-0.6819366	No	
row_45	NDUFB11	9977	-0.21127741038799286	-0.6932343	No	
row_46	NDUFB8	10031	-0.21957552433013916	-0.69423103	No	
row_47	ATP5F1EP2	10063	-0.22468462586402893	-0.6933744	No	
row_48	IMPDH1	10080	-0.22825780510902405	-0.69125277	No	
row_49	NDUFB2	10101	-0.23136335611343384	-0.6894078	No	
row_50	NDUFB7	10310	-0.27217352390289307	-0.70213705	No	
row_51	NDUFS1	10390	-0.29084858298301697	-0.7041678	No	
row_52	ATP5F1C	10392	-0.2909660339355469	-0.69989675	No	
row_53	ATP5MJ	10410	-0.294459730386734	-0.6968658	No	
row_54	ATP5MK	10450	-0.3022671341896057	-0.69549495	No	
row_55	NDUFB3	10575	-0.3349362313747406	-0.7005009	No	
row_56	NDUFA12	10689	-0.3686787486076355	-0.70411366	No	
row_57	NDUFB4	10711	-0.37605738639831543	-0.7001854	No	
row_58	NDUFS6	10714	-0.3772987723350525	-0.69470394	No	
row_59	ATP5F1B	10927	-0.4601925313472748	-0.70494413	No	
row_60	MT-ND6	10943	-0.46753859519958496	-0.699163	No	
row_61	ATP5MC3	11222	-0.601794958114624	-0.71261615	Yes	
