NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	1805	0.7855784296989441	-0.13549386	No	
row_1	ENTPD4	2457	0.6069469451904297	-0.180058	No	
row_2	SDHA	2627	0.5730513334274292	-0.18610138	No	
row_3	LRRK2	2886	0.5167791843414307	-0.2000891	No	
row_4	MFN1	3140	0.47156089544296265	-0.2142739	No	
row_5	NDUFB5	3487	0.41961267590522766	-0.23666896	No	
row_6	UCK1	3545	0.41183239221572876	-0.23580073	No	
row_7	RHOQ	3568	0.40889498591423035	-0.23214169	No	
row_8	NDUFA10	3805	0.3750847280025482	-0.246235	No	
row_9	GTPBP1	4148	0.3329414427280426	-0.26945928	No	
row_10	NDUFB1	4323	0.31075185537338257	-0.2793952	No	
row_11	SDHD	4877	0.2507324814796448	-0.32077292	No	
row_12	EFL1	4982	0.24025188386440277	-0.32598662	No	
row_13	VPS9D1	5044	0.23430368304252625	-0.32780275	No	
row_14	ATP5MG	5168	0.2215849608182907	-0.33480093	No	
row_15	NDUFS7	5350	0.20466436445713043	-0.3467137	No	
row_16	SDHC	5612	0.1816965490579605	-0.36540017	No	
row_17	NDUFA6	5789	0.1661921590566635	-0.37742028	No	
row_18	NDUFV1	5964	0.1514122188091278	-0.38947526	No	
row_19	ATP5F1A	6272	0.125997394323349	-0.41262174	No	
row_20	NDUFV3	6401	0.11620830744504929	-0.4214256	No	
row_21	AK9	6821	0.08469045162200928	-0.45417705	No	
row_22	NDUFC1	7135	0.06072014942765236	-0.4786768	No	
row_23	AK3	7297	0.050938930362463	-0.49101683	No	
row_24	ATP5PD	7552	0.033405058085918427	-0.5111095	No	
row_25	NDUFA1	7841	0.013680227100849152	-0.5342134	No	
row_26	SLC25A13	7878	0.011763992719352245	-0.5369677	No	
row_27	GNAI3	7885	0.011203745380043983	-0.53730386	No	
row_28	NDUFS5	7998	0.003488758346065879	-0.54631305	No	
row_29	NDUFV2	8256	-0.015452192164957523	-0.566887	No	
row_30	ATP5PO	8570	-0.04108518734574318	-0.59164786	No	
row_31	AK4	8747	-0.05817551910877228	-0.60510445	No	
row_32	PRKAG2	8784	-0.06191863864660263	-0.60719174	No	
row_33	NUDT2	8792	-0.06261876970529556	-0.606925	No	
row_34	NDUFC2	8852	-0.06857486069202423	-0.6107834	No	
row_35	NDUFB10	8853	-0.06859392672777176	-0.60987115	No	
row_36	NDUFS2	8904	-0.07330241799354553	-0.612939	No	
row_37	NDUFA7	8944	-0.07635743916034698	-0.61507684	No	
row_38	ATP5MC2	8946	-0.07671423256397247	-0.61413753	No	
row_39	ATP5PF	8948	-0.07683318853378296	-0.61319655	No	
row_40	CTPS2	8969	-0.07864715158939362	-0.61376774	No	
row_41	ATP5ME	8998	-0.08128581196069717	-0.6149506	No	
row_42	NDUFAB1	9046	-0.08675497770309448	-0.617597	No	
row_43	NDUFB6	9095	-0.09182395786046982	-0.62025684	No	
row_44	ATP5PB	9128	-0.09429863095283508	-0.6215901	No	
row_45	NDUFA2	9189	-0.10187789797782898	-0.6250865	No	
row_46	NDUFA8	9241	-0.10859365016222	-0.62776583	No	
row_47	NDUFA5	9308	-0.11653188616037369	-0.63155246	No	
row_48	ATP5MF	9451	-0.13336028158664703	-0.64126015	No	
row_49	NDUFS8	9482	-0.13655391335487366	-0.6418698	No	
row_50	STOML2	9673	-0.16236752271652222	-0.6550727	No	
row_51	NDUFS3	9703	-0.16643841564655304	-0.655204	No	
row_52	NDUFA3	9781	-0.1776546984910965	-0.65906715	No	
row_53	NDUFA13	9797	-0.18001258373260498	-0.657886	No	
row_54	NDUFB11	9977	-0.21127741038799286	-0.6695491	No	
row_55	NDUFB8	10031	-0.21957552433013916	-0.67091423	No	
row_56	ATP5F1EP2	10063	-0.22468462586402893	-0.6704327	No	
row_57	IMPDH1	10080	-0.22825780510902405	-0.6686908	No	
row_58	NDUFB2	10101	-0.23136335611343384	-0.66723096	No	
row_59	NDUFB7	10310	-0.27217352390289307	-0.680429	No	
row_60	NDUFS1	10390	-0.29084858298301697	-0.68294847	No	
row_61	ATP5F1C	10392	-0.2909660339355469	-0.6791598	No	
row_62	ATP5MJ	10410	-0.294459730386734	-0.6766184	No	
row_63	ATP5MK	10450	-0.3022671341896057	-0.67575186	No	
row_64	NDUFB3	10575	-0.3349362313747406	-0.68132347	No	
row_65	ENTPD7	10600	-0.3435198664665222	-0.67869556	No	
row_66	NDUFA12	10689	-0.3686787486076355	-0.68090767	No	
row_67	NDUFB4	10711	-0.37605738639831543	-0.6776045	No	
row_68	NDUFS6	10714	-0.3772987723350525	-0.67274857	No	
row_69	ATP5F1B	10927	-0.4601925313472748	-0.6837695	Yes	
row_70	MT-ND6	10943	-0.46753859519958496	-0.67876464	Yes	
row_71	RAB23	10949	-0.4694230854511261	-0.6729261	Yes	
row_72	OPA1	11106	-0.5409228801727295	-0.6783457	Yes	
row_73	ATP5MC3	11222	-0.601794958114624	-0.6796407	Yes	
row_74	SDHB	11257	-0.6207859516143799	-0.67413396	Yes	
row_75	NDUFA9	11280	-0.6337454915046692	-0.6674847	Yes	
row_76	CTPS1	11391	-0.6968157887458801	-0.66711175	Yes	
row_77	ATP5F1E	11438	-0.7284639477729797	-0.6611433	Yes	
row_78	NDUFA11	11454	-0.7389846444129944	-0.65252846	Yes	
row_79	ATP5F1D	11597	-0.851831316947937	-0.65268135	Yes	
row_80	MT-ND5	11623	-0.8774257302284241	-0.643034	Yes	
row_81	MT-ND4	11669	-0.9237276315689087	-0.63438785	Yes	
row_82	MT-ATP6	11893	-1.2431378364562988	-0.63588595	Yes	
row_83	CAD	11945	-1.3486725091934204	-0.62207377	Yes	
row_84	UCK2	12039	-1.5990867614746094	-0.60832715	Yes	
row_85	TGFB1	12144	-2.0374717712402344	-0.58963996	Yes	
row_86	MT-ND3	12185	-2.292919874191284	-0.5623809	Yes	
row_87	NDUFB9	12293	-3.363471031188965	-0.526302	Yes	
row_88	ATP5MC1	12295	-3.3813343048095703	-0.48141503	Yes	
