NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL11	288	2.4489645957946777	0.007675345	No	
row_1	RPL7A	752	1.431968092918396	-0.011600474	No	
row_2	RSL24D1	1458	0.9270105361938477	-0.05676988	No	
row_3	RPL5	1551	0.8907023072242737	-0.052950066	No	
row_4	DDX18	2145	0.6880134344100952	-0.09210125	No	
row_5	RPL26	2527	0.593571126461029	-0.11534342	No	
row_6	RPL7	2973	0.4989164471626282	-0.14494272	No	
row_7	RPL6	3212	0.46080106496810913	-0.15832543	No	
row_8	NVL	3926	0.360273152589798	-0.21129258	No	
row_9	TRAF7	4856	0.25258973240852356	-0.2830423	No	
row_10	ZNF622	5054	0.23310543596744537	-0.29599136	No	
row_11	RPL3	5613	0.181455597281456	-0.33871222	No	
row_12	RPL35A	6107	0.13966208696365356	-0.37671733	No	
row_13	ZNHIT6	6202	0.13125286996364594	-0.38264334	No	
row_14	SDAD1	6302	0.12368565052747726	-0.38906822	No	
row_15	NSA2	6407	0.11591338366270065	-0.39599445	No	
row_16	RPL35	6793	0.08720523864030838	-0.4259498	No	
row_17	RPL10A	6859	0.08070540428161621	-0.43017447	No	
row_18	MALSU1	7362	0.04712258651852608	-0.47007343	No	
row_19	MRPL1	7380	0.046033069491386414	-0.4708638	No	
row_20	RPL26L1	7999	0.003477791091427207	-0.52067065	No	
row_21	DDX28	8085	-0.0023970268666744232	-0.52749693	No	
row_22	NOP53	9268	-0.11100297421216965	-0.62144166	No	
row_23	RPF1	9446	-0.13246038556098938	-0.6340476	No	
row_24	LTO1	10075	-0.2271999716758728	-0.6818377	No	
row_25	ZNHIT3	10090	-0.22972039878368378	-0.68006784	No	
row_26	FASTKD2	10112	-0.2333572655916214	-0.6788168	No	
row_27	HEATR3	10136	-0.23893237113952637	-0.67765665	No	
row_28	NIP7	10144	-0.240554541349411	-0.67518544	No	
row_29	MDN1	10679	-0.36559849977493286	-0.71364635	No	
row_30	RPL14	10757	-0.38968268036842346	-0.71493965	No	
row_31	FTSJ3	10828	-0.4159870743751526	-0.71533626	Yes	
row_32	NLE1	10872	-0.43393224477767944	-0.7133285	Yes	
row_33	DHX30	10882	-0.43770816922187805	-0.7085304	Yes	
row_34	NOL9	10975	-0.48018312454223633	-0.7098915	Yes	
row_35	RRP15	10987	-0.4869491755962372	-0.70463336	Yes	
row_36	LAS1L	11045	-0.5104058980941772	-0.7027897	Yes	
row_37	MRPL20	11076	-0.5275694727897644	-0.69855154	Yes	
row_38	SURF6	11141	-0.5582464933395386	-0.69666886	Yes	
row_39	WDR12	11466	-0.7462883591651917	-0.71338576	Yes	
row_40	RPL10	11518	-0.779304563999176	-0.7076646	Yes	
row_41	MAK16	11709	-0.9825747013092041	-0.7105904	Yes	
row_42	EIF6	11719	-0.9931484460830688	-0.69878256	Yes	
row_43	RPL7L1	11749	-1.0238648653030396	-0.6882003	Yes	
row_44	BRIX1	11758	-1.0400515794754028	-0.6757198	Yes	
row_45	WDR74	11785	-1.0749611854553223	-0.66425073	Yes	
row_46	URB1	11798	-1.0889043807983398	-0.6514763	Yes	
row_47	RRS1	11826	-1.123557209968567	-0.63947463	Yes	
row_48	PAK1IP1	11842	-1.1643049716949463	-0.6259907	Yes	
row_49	NHP2	12031	-1.5730417966842651	-0.6213033	Yes	
row_50	SNU13	12032	-1.5751776695251465	-0.60142404	Yes	
row_51	RPLP0	12048	-1.614875316619873	-0.5822537	Yes	
row_52	NIFK	12085	-1.7753764390945435	-0.56275177	Yes	
row_53	GTF3A	12171	-2.1465823650360107	-0.54251766	Yes	
row_54	NOC2L	12205	-2.4363138675689697	-0.5144325	Yes	
row_55	NOP16	12232	-2.650791645050049	-0.48307586	Yes	
row_56	GTPBP4	12236	-2.6737985610961914	-0.4495736	Yes	
row_57	MRTO4	12237	-2.674368381500244	-0.41582215	Yes	
row_58	RSL1D1	12272	-3.07438588142395	-0.37976494	Yes	
row_59	PES1	12274	-3.1039717197418213	-0.34067243	Yes	
row_60	PPAN	12284	-3.293950080871582	-0.29982764	Yes	
row_61	EBNA1BP2	12316	-3.7924015522003174	-0.25446683	Yes	
row_62	NPM1	12322	-3.879211187362671	-0.20591319	Yes	
row_63	NOP2	12336	-4.126607894897461	-0.15488262	Yes	
row_64	RPL23A	12337	-4.135207653045654	-0.102694884	Yes	
row_65	RPF2	12354	-4.435937881469727	-0.048002467	Yes	
row_66	BOP1	12358	-4.493871688842773	0.008469739	Yes	
