NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRMT112	2086	0.7066977620124817	-0.15617026	No	
row_1	KRR1	3102	0.47835296392440796	-0.2298752	No	
row_2	RPS14	3442	0.42555052042007446	-0.24997832	No	
row_3	RPS7	5012	0.23771019279956818	-0.37243292	No	
row_4	BMS1	5552	0.18633845448493958	-0.4127222	No	
row_5	UTP14C	5897	0.15778906643390656	-0.43777558	No	
row_6	RPS6	6369	0.11807964742183685	-0.47374195	No	
row_7	RRP36	6539	0.10517806559801102	-0.48558044	No	
row_8	THUMPD1	6937	0.07547463476657867	-0.5163045	No	
row_9	EMG1	7818	0.015234488993883133	-0.58699065	No	
row_10	MPHOSPH10	9026	-0.08419667184352875	-0.6828681	No	
row_11	UTP11	10092	-0.23039278388023376	-0.7648149	No	
row_12	TSR3	10134	-0.23881973326206207	-0.7640646	No	
row_13	UTP25	10214	-0.25347569584846497	-0.76612896	No	
row_14	RRP7A	10275	-0.26495224237442017	-0.7664666	No	
row_15	GAR1	10323	-0.2747620940208435	-0.76558965	No	
row_16	DDX49	10394	-0.2912839651107788	-0.7662864	No	
row_17	DDX52	10420	-0.2969490885734558	-0.763259	No	
row_18	UTP18	10594	-0.3414997458457947	-0.7714067	No	
row_19	NOL11	10856	-0.4283742904663086	-0.78517354	Yes	
row_20	UTP15	10859	-0.42937660217285156	-0.77804303	Yes	
row_21	BUD23	10901	-0.44617921113967896	-0.7737713	Yes	
row_22	UTP3	10946	-0.4687197506427765	-0.76935863	Yes	
row_23	RCL1	11079	-0.5282710194587708	-0.7710292	Yes	
row_24	NOC4L	11115	-0.5478334426879883	-0.7645474	Yes	
row_25	WDR36	11185	-0.5835366249084473	-0.7602004	Yes	
row_26	NAT10	11406	-0.7050628066062927	-0.7659631	Yes	
row_27	FBL	11441	-0.7307927012443542	-0.75629365	Yes	
row_28	WDR75	11476	-0.753343403339386	-0.7462413	Yes	
row_29	HEATR1	11481	-0.7552874684333801	-0.7337373	Yes	
row_30	UTP14A	11499	-0.7658685445785522	-0.7221017	Yes	
row_31	FCF1	11511	-0.7744393348693848	-0.7098368	Yes	
row_32	PWP2	11524	-0.7882170081138611	-0.6974186	Yes	
row_33	NOP10	11576	-0.8326172232627869	-0.68739045	Yes	
row_34	DIMT1	11604	-0.8578368425369263	-0.6749992	Yes	
row_35	WDR46	11612	-0.867163896560669	-0.6608372	Yes	
row_36	RPS9	11629	-0.8846206068992615	-0.64710426	Yes	
row_37	IMP3	11670	-0.9258251786231995	-0.6346065	Yes	
row_38	TBL3	11761	-1.044687032699585	-0.62412107	Yes	
row_39	DDX47	11777	-1.0685311555862427	-0.60718435	Yes	
row_40	UTP20	11874	-1.2092262506484985	-0.5943884	Yes	
row_41	IMP4	11882	-1.223850131034851	-0.5741691	Yes	
row_42	DHX37	11924	-1.3049492835998535	-0.5553136	Yes	
row_43	RPS2	11951	-1.3577924966812134	-0.53435135	Yes	
row_44	UTP6	11992	-1.448373556137085	-0.5129795	Yes	
row_45	NOL6	12010	-1.5162220001220703	-0.48860124	Yes	
row_46	DKC1	12012	-1.5166733264923096	-0.4629254	Yes	
row_47	NHP2	12031	-1.5730417966842651	-0.4376628	Yes	
row_48	SNU13	12032	-1.5751776695251465	-0.4109128	Yes	
row_49	DCAF13	12071	-1.7263524532318115	-0.38465905	Yes	
row_50	PDCD11	12073	-1.734715461730957	-0.35528037	Yes	
row_51	NOP58	12097	-1.8327285051345825	-0.32601082	Yes	
row_52	PNO1	12123	-1.945787787437439	-0.29498252	Yes	
row_53	WDR3	12141	-2.0197391510009766	-0.2620534	Yes	
row_54	UTP4	12159	-2.093822717666626	-0.22786619	Yes	
row_55	NOP14	12184	-2.2743518352508545	-0.19117752	Yes	
row_56	WDR43	12195	-2.347838878631592	-0.15211222	Yes	
row_57	RRP9	12216	-2.533884286880493	-0.11069363	Yes	
row_58	NOP56	12304	-3.554683208465576	-0.057341117	Yes	
row_59	NOP2	12336	-4.126607894897461	0.010238621	Yes	
