NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL11	288	2.4489645957946777	-0.009720995	No	
row_1	RPS24	406	2.0055556297302246	-0.008000027	No	
row_2	RPS15A	714	1.4820044040679932	-0.02469369	No	
row_3	RPL7A	752	1.431968092918396	-0.019673936	No	
row_4	RPL15	796	1.385282039642334	-0.015404865	No	
row_5	RPL34	797	1.384430170059204	-0.007637802	No	
row_6	RPS3A	865	1.3081943988800049	-0.0057562487	No	
row_7	RPS4X	1071	1.1370643377304077	-0.016076231	No	
row_8	RPL36A	1228	1.0370841026306152	-0.022965606	No	
row_9	RPL5	1551	0.8907023072242737	-0.044198547	No	
row_10	RPL37A	1573	0.8812005519866943	-0.040965404	No	
row_11	RPL32	2033	0.7216066122055054	-0.07430701	No	
row_12	TRMT112	2086	0.7066977620124817	-0.07457813	No	
row_13	RPL17	2239	0.6615631580352783	-0.08324845	No	
row_14	RPL26	2527	0.593571126461029	-0.10329729	No	
row_15	RIOK3	2672	0.5604553818702698	-0.11188318	No	
row_16	RPS3	2879	0.5178539156913757	-0.12575857	No	
row_17	RPL29	2965	0.4999596178531647	-0.12987773	No	
row_18	RPL7	2973	0.4989164471626282	-0.12764888	No	
row_19	RPS8	3016	0.4923229515552521	-0.12830812	No	
row_20	RPS27L	3021	0.49088940024375916	-0.12587991	No	
row_21	KRR1	3102	0.47835296392440796	-0.129713	No	
row_22	RPL6	3212	0.46080106496810913	-0.13600688	No	
row_23	RPS14	3442	0.42555052042007446	-0.1522737	No	
row_24	XRN2	4098	0.338376522064209	-0.20373145	No	
row_25	RPL31	4118	0.3362579345703125	-0.20339268	No	
row_26	EXOSC10	4368	0.3069619834423065	-0.22195402	No	
row_27	RPP21	4518	0.2905479669570923	-0.23246145	No	
row_28	RPS7	5012	0.23771019279956818	-0.2712875	No	
row_29	RPS10	5456	0.19581200182437897	-0.3062756	No	
row_30	RPP25	5527	0.1886388659477234	-0.31091946	No	
row_31	BMS1	5552	0.18633845448493958	-0.3118291	No	
row_32	RPS11	5585	0.18389944732189178	-0.31340408	No	
row_33	RPL3	5613	0.181455597281456	-0.31458548	No	
row_34	RPL38	5696	0.17412985861301422	-0.32028824	No	
row_35	UTP14C	5897	0.15778906643390656	-0.33569494	No	
row_36	RPS20	6034	0.1447904258966446	-0.34596115	No	
row_37	RPL35A	6107	0.13966208696365356	-0.35104272	No	
row_38	RPS6	6369	0.11807964742183685	-0.37164125	No	
row_39	RPL39L	6438	0.11397087574005127	-0.3765411	No	
row_40	RRP36	6539	0.10517806559801102	-0.384097	No	
row_41	RPL22	6708	0.09270263463258743	-0.39726216	No	
