NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKDC	202	2.8798255920410156	0.0042748386	No	
row_1	RPL11	288	2.4489645957946777	0.014966379	No	
row_2	RPS24	406	2.0055556297302246	0.019868633	No	
row_3	RPL7A	752	1.431968092918396	0.00210832	No	
row_4	RPL5	1551	0.8907023072242737	-0.056377884	No	
row_5	DDX10	1943	0.7498372197151184	-0.08278182	No	
row_6	TRMT112	2086	0.7066977620124817	-0.08924865	No	
row_7	DDX18	2145	0.6880134344100952	-0.0890194	No	
row_8	PIH1D1	2176	0.6808276772499084	-0.08656501	No	
row_9	RPL26	2527	0.593571126461029	-0.11075832	No	
row_10	RIOK3	2672	0.5604553818702698	-0.11843897	No	
row_11	RPL7	2973	0.4989164471626282	-0.13924696	No	
row_12	RPS8	3016	0.4923229515552521	-0.1391233	No	
row_13	TSR2	3169	0.4670964777469635	-0.14812554	No	
row_14	POP4	3355	0.4401119649410248	-0.1600051	No	
row_15	RPS14	3442	0.42555052042007446	-0.16393924	No	
row_16	NVL	3926	0.360273152589798	-0.20062426	No	
row_17	XRN2	4098	0.338376522064209	-0.21209669	No	
row_18	METTL15	4100	0.33818334341049194	-0.20974714	No	
row_19	SART1	4146	0.33319273591041565	-0.21101128	No	
row_20	LSM6	4271	0.3153366446495056	-0.21882756	No	
row_21	EXOSC10	4368	0.3069619834423065	-0.22442725	No	
row_22	RPS7	5012	0.23771019279956818	-0.27500352	No	
row_23	MRM2	5226	0.2164042443037033	-0.29076788	No	
row_24	ERI2	5254	0.2138378620147705	-0.2914263	No	
row_25	BMS1	5552	0.18633845448493958	-0.31423715	No	
row_26	HELQ	5954	0.15232674777507782	-0.34574914	No	
row_27	RPL35A	6107	0.13966208696365356	-0.357105	No	
row_28	METTL16	6153	0.1348418891429901	-0.35979488	No	
row_29	ZNHIT6	6202	0.13125286996364594	-0.3627545	No	
row_30	RPS6	6369	0.11807964742183685	-0.37540388	No	
row_31	NSA2	6407	0.11591338366270065	-0.3775793	No	
row_32	ZCCHC4	6514	0.1069069504737854	-0.38543013	No	
row_33	RRP36	6539	0.10517806559801102	-0.38662565	No	
row_34	EXOSC3	6751	0.0895245298743248	-0.4031394	No	
row_35	PIH1D2	6763	0.08869940787553787	-0.40339628	No	
row_36	RPL35	6793	0.08720523864030838	-0.40512756	No	
row_37	RPL10A	6859	0.08070540428161621	-0.40983286	No	
row_38	RPUSD3	7007	0.06991742551326752	-0.42128345	No	
row_39	ESF1	7110	0.06231928989291191	-0.42912954	No	
row_40	RPS17	7346	0.04773113504052162	-0.44789523	No	
row_41	MRPL1	7380	0.046033069491386414	-0.4502477	No	
row_42	RPUSD2	7522	0.035233769565820694	-0.46145973	No	
row_43	RPS15	7654	0.026458116248250008	-0.47192168	No	
row_44	EMG1	7818	0.015234488993883133	-0.48506635	No	
row_45	C1D	7879	0.011713509447872639	-0.489861	No	
row_46	NSUN3	8058	3.440311411395669E-5	-0.5043347	No	
row_47	EXOSC8	8130	-0.005369034130126238	-0.5100694	No	
row_48	NOL8	8232	-0.013470909558236599	-0.51818526	No	
row_49	SBDS	8378	-0.02537170983850956	-0.52979344	No	
row_50	MRPS11	8682	-0.05154078081250191	-0.5540611	No	
row_51	NOP9	8726	-0.0557575486600399	-0.5571568	No	
row_52	METTL5	8941	-0.0759052112698555	-0.5740124	No	
row_53	EXOSC9	9087	-0.09093663841485977	-0.5851493	No	
row_54	POP5	9132	-0.0951770544052124	-0.588043	No	
row_55	NOP53	9268	-0.11100297421216965	-0.5982225	No	
row_56	MRM3	9326	-0.11883272975683212	-0.6020032	No	
row_57	RPF1	9446	-0.13246038556098938	-0.6107274	No	
row_58	NAF1	9514	-0.14176565408706665	-0.6151565	No	
row_59	RPUSD4	9550	-0.14632070064544678	-0.6169507	No	
row_60	NSUN5	9742	-0.17074152827262878	-0.6312544	No	
row_61	ABT1	9829	-0.1885410100221634	-0.63689214	No	
row_62	MTREX	9875	-0.1960490494966507	-0.6391421	No	
row_63	ZNHIT3	10090	-0.22972039878368378	-0.654892	No	
row_64	NSUN4	10106	-0.23231393098831177	-0.6544419	No	
row_65	TSR3	10134	-0.23881973326206207	-0.6549207	No	
row_66	ERI1	10166	-0.24400070309638977	-0.6556876	No	
