NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL11	288	2.4489645957946777	-0.009977677	No	
row_1	RPS24	406	2.0055556297302246	-0.008459022	No	
row_2	RPS15A	714	1.4820044040679932	-0.02531683	No	
row_3	RPL7A	752	1.431968092918396	-0.02043844	No	
row_4	RPL15	796	1.385282039642334	-0.0163066	No	
row_5	RPL34	797	1.384430170059204	-0.00867383	No	
row_6	RPS3A	865	1.3081943988800049	-0.0069236243	No	
row_7	RPS4X	1071	1.1370643377304077	-0.01736752	No	
row_8	RPL36A	1228	1.0370841026306152	-0.024367854	No	
row_9	RPL5	1551	0.8907023072242737	-0.045708574	No	
row_10	RPL37A	1573	0.8812005519866943	-0.04256231	No	
row_11	RPL32	2033	0.7216066122055054	-0.07600439	No	
row_12	TRMT112	2086	0.7066977620124817	-0.07634752	No	
row_13	RPL17	2239	0.6615631580352783	-0.085092105	No	
row_14	RPL26	2527	0.593571126461029	-0.10521758	No	
row_15	RIOK3	2672	0.5604553818702698	-0.113867395	No	
row_16	RPS3	2879	0.5178539156913757	-0.12780671	No	
row_17	RPL29	2965	0.4999596178531647	-0.13198	No	
row_18	RPL7	2973	0.4989164471626282	-0.12980002	No	
row_19	RPS8	3016	0.4923229515552521	-0.1305098	No	
row_20	RPS27L	3021	0.49088940024375916	-0.12812948	No	
row_21	KRR1	3102	0.47835296392440796	-0.13201427	No	
row_22	RPL6	3212	0.46080106496810913	-0.1383601	No	
row_23	RPS14	3442	0.42555052042007446	-0.15468341	No	
row_24	HSD17B10	3655	0.39508143067359924	-0.16978875	No	
row_25	XRN2	4098	0.338376522064209	-0.20395775	No	
row_26	RPL31	4118	0.3362579345703125	-0.20365286	No	
row_27	EXOSC10	4368	0.3069619834423065	-0.2222605	No	
row_28	RPP21	4518	0.2905479669570923	-0.23280603	No	
row_29	RPS7	5012	0.23771019279956818	-0.27168787	No	
row_30	MRM2	5226	0.2164042443037033	-0.28785983	No	
row_31	RPS10	5456	0.19581200182437897	-0.30544975	No	
row_32	RPP25	5527	0.1886388659477234	-0.31011656	No	
row_33	BMS1	5552	0.18633845448493958	-0.31104586	No	
row_34	RPS11	5585	0.18389944732189178	-0.31264082	No	
row_35	RPL3	5613	0.181455597281456	-0.31384158	No	
row_36	RPL38	5696	0.17412985861301422	-0.3195667	No	
row_37	UTP14C	5897	0.15778906643390656	-0.335002	No	
row_38	RPS20	6034	0.1447904258966446	-0.3452913	No	
row_39	RPL35A	6107	0.13966208696365356	-0.35039118	No	
row_40	RPS6	6369	0.11807964742183685	-0.3710185	No	
row_41	RPL39L	6438	0.11397087574005127	-0.37593392	No	
row_42	RRP36	6539	0.10517806559801102	-0.38350666	No	
row_43	RPL22	6708	0.09270263463258743	-0.39669195	No	
row_44	EXOSC3	6751	0.0895245298743248	-0.39962247	No	
row_45	RPL35	6793	0.08720523864030838	-0.40248427	No	
row_46	RPL10A	6859	0.08070540428161621	-0.40733853	No	
row_47	THUMPD1	6937	0.07547463476657867	-0.41319993	No	
row_48	MTERF4	7243	0.05403779447078705	-0.43776748	No	
row_49	RPS17	7346	0.04773113504052162	-0.44581997	No	
row_50	EXOSC1	7640	0.027631543576717377	-0.4695548	No	
row_51	NOL12	7653	0.026471329852938652	-0.4703872	No	
row_52	RPS15	7654	0.026458116248250008	-0.4702413	No	
row_53	EMG1	7818	0.015234488993883133	-0.4834461	No	
row_54	C1D	7879	0.011713509447872639	-0.48827308	No	
row_55	PRORP	7896	0.010651473887264729	-0.48951876	No	
row_56	RPL26L1	7999	0.003477791091427207	-0.49781525	No	
row_57	EXOSC8	8130	-0.005369034130126238	-0.50838405	No	
row_58	RPS27A	8212	-0.011017685756087303	-0.5149269	No	
row_59	RPS18	8289	-0.017657436430454254	-0.5210256	No	
row_60	RPL13	8364	-0.02428160235285759	-0.52692467	No	
row_61	RPP14	8436	-0.02930000238120556	-0.53255147	No	
row_62	RPL36AL	8626	-0.04661000892519951	-0.5477029	No	
row_63	RPL18	8786	-0.06229827180504799	-0.5603221	No	
row_64	CSNK1D	8940	-0.07574662566184998	-0.57237804	No	
row_65	RPL36	8981	-0.0793929249048233	-0.57520133	No	
row_66	MPHOSPH10	9026	-0.08419667184352875	-0.5783243	No	
row_67	EXOSC6	9048	-0.08684806525707245	-0.57955754	No	
row_68	EXOSC9	9087	-0.09093663841485977	-0.58215415	No	
row_69	RPL24	9208	-0.10434338450431824	-0.591362	No	
row_70	RPP30	9303	-0.11593355983495712	-0.5983863	No	
row_71	MRM3	9326	-0.11883272975683212	-0.59952474	No	
row_72	RPL39	9397	-0.12778912484645844	-0.604527	No	
row_73	CSNK1E	9480	-0.13638849556446075	-0.6104602	No	
row_74	MTREX	9875	-0.1960490494966507	-0.64150065	No	
row_75	ISG20L2	9881	-0.19658169150352478	-0.64082444	No	
row_76	RPL27A	10082	-0.2285066694021225	-0.6558699	No	
row_77	UTP11	10092	-0.23039278388023376	-0.6553334	No	
row_78	NSUN4	10106	-0.23231393098831177	-0.6551124	No	
row_79	TSR3	10134	-0.23881973326206207	-0.6559969	No	
row_80	NIP7	10144	-0.240554541349411	-0.65540445	No	
row_81	ERI1	10166	-0.24400070309638977	-0.6557712	No	
row_82	RPS19	10172	-0.24454186856746674	-0.65483063	No	
row_83	RPP38	10187	-0.24829283356666565	-0.65460306	No	
row_84	RPL37	10211	-0.25282925367355347	-0.65508425	No	
row_85	UTP25	10214	-0.25347569584846497	-0.65384984	No	
row_86	RPL30	10228	-0.25687041878700256	-0.65349346	No	
row_87	SENP3	10257	-0.2603014409542084	-0.6543411	No	
row_88	RRP7A	10275	-0.26495224237442017	-0.65426624	No	
row_89	DIS3	10295	-0.26964011788368225	-0.65432864	No	
row_90	GAR1	10323	-0.2747620940208435	-0.655015	No	
row_91	RPL21	10382	-0.29011958837509155	-0.658144	No	
row_92	DDX49	10394	-0.2912839651107788	-0.6574349	No	
row_93	DDX52	10420	-0.2969490885734558	-0.65783584	No	
row_94	MPHOSPH6	10460	-0.30576637387275696	-0.6593296	No	
row_95	RPL27	10565	-0.3319210708141327	-0.6659784	No	
row_96	UTP18	10594	-0.3414997458457947	-0.6663783	No	
row_97	MRM1	10661	-0.3590122163295746	-0.66977966	No	
row_98	TRMT10C	10734	-0.3853400647640228	-0.6735251	No	
row_99	RPL14	10757	-0.38968268036842346	-0.6731702	No	
row_100	RPL23	10820	-0.41269615292549133	-0.6759495	Yes	
row_101	FTSJ3	10828	-0.4159870743751526	-0.67422676	Yes	
row_102	NOL11	10856	-0.4283742904663086	-0.6740662	Yes	
row_103	UTP15	10859	-0.42937660217285156	-0.67186195	Yes	
row_104	BUD23	10901	-0.44617921113967896	-0.67274463	Yes	
