NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBTF	161	3.173757553100586	0.003763184	No	
row_1	CREBBP	187	2.9694058895111084	0.017424798	No	
row_2	HUWE1	210	2.8559300899505615	0.030729368	No	
row_3	RPL11	288	2.4489645957946777	0.037445594	No	
row_4	CDCA7	479	1.8461476564407349	0.031857733	No	
row_5	BMI1	617	1.6127585172653198	0.029315483	No	
row_6	TRRAP	785	1.3983436822891235	0.02321954	No	
row_7	EP300	999	1.1923609972000122	0.012322965	No	
row_8	BIRC5	1494	0.9134427905082703	-0.022727812	No	
row_9	PIM1	1717	0.8196325302124023	-0.036318976	No	
row_10	DDX18	2145	0.6880134344100952	-0.067152075	No	
row_11	SMAD3	2482	0.6018491983413696	-0.09109493	No	
row_12	E2F3	2511	0.5968526005744934	-0.090203404	No	
row_13	IREB2	2526	0.5936012268066406	-0.08819901	No	
row_14	BAX	2790	0.5367881059646606	-0.10659309	No	
row_15	CDC25A	3322	0.4453134536743164	-0.14710227	No	
row_16	KAT5	3358	0.4394310712814331	-0.147607	No	
row_17	PMAIP1	3401	0.43285247683525085	-0.14871149	No	
row_18	SUPT7L	3701	0.3889613151550293	-0.17079195	No	
row_19	SHMT1	3986	0.3533937931060791	-0.19184947	No	
row_20	PFKM	5463	0.1951083540916443	-0.30995718	No	
row_21	SMAD4	5864	0.16050010919570923	-0.3413964	No	
row_22	CDK4	6360	0.11888094991445541	-0.38072345	No	
row_23	TAF12	6970	0.07268380373716354	-0.42949617	No	
row_24	NBN	7177	0.05798108130693436	-0.44581765	No	
row_25	TK1	7181	0.057543620467185974	-0.44575596	No	
row_26	SNAI1	7318	0.04960948973894119	-0.45647147	No	
row_27	ACTL6A	7369	0.04670457914471626	-0.4602607	No	
row_28	TP53	7479	0.0383179597556591	-0.46885648	No	
row_29	CCND2	7797	0.016195023432374	-0.49435818	No	
row_30	NDUFAF2	7826	0.014837834984064102	-0.49653992	No	
row_31	PEG10	8157	-0.0072385286912322044	-0.5231382	No	
row_32	PRDX3	8214	-0.011073325760662556	-0.5275999	No	
row_33	TAF10	8648	-0.04872272163629532	-0.562293	No	
row_34	MMP9	9021	-0.08390352129936218	-0.59187657	No	
row_35	TERT	9166	-0.09946376085281372	-0.6029746	No	
row_36	PDCD10	9477	-0.1362321972846985	-0.62727743	No	
row_37	HSP90AA1	9691	-0.16541893780231476	-0.64359665	No	
row_38	TAF4B	9772	-0.1758442372083664	-0.64912546	No	
row_39	CCNB1	9790	-0.17858955264091492	-0.6495546	No	
row_40	POLR3D	9893	-0.19819402694702148	-0.6567412	No	
row_41	MAX	10056	-0.22350972890853882	-0.6686371	No	
row_42	SUPT3H	10089	-0.22914515435695648	-0.6700101	No	
row_43	ID2	10124	-0.23657186329364777	-0.6715053	No	
row_44	MTDH	10174	-0.24470989406108856	-0.6741682	No	
row_45	GPAM	10915	-0.4542810320854187	-0.73149985	No	
row_46	TFRC	10994	-0.4910033643245697	-0.7352031	No	
row_47	MTA1	11068	-0.521975576877594	-0.7383392	No	
row_48	HSPA4	11082	-0.5295652747154236	-0.73659223	No	
row_49	KAT2A	11102	-0.5378546714782715	-0.73528576	No	
row_50	TAF9	11355	-0.672950804233551	-0.752073	No	
row_51	PTMA	11449	-0.7375026941299438	-0.7556853	No	
row_52	RIOX2	11929	-1.3193857669830322	-0.7873818	Yes	
row_53	CAD	11945	-1.3486725091934204	-0.78147113	Yes	
row_54	EIF4E	11971	-1.3977208137512207	-0.77610856	Yes	
row_55	NCL	12025	-1.5464966297149658	-0.7722205	Yes	
row_56	RUVBL1	12090	-1.8050849437713623	-0.76785487	Yes	
row_57	RCC1	12110	-1.8750264644622803	-0.7594877	Yes	
row_58	RUVBL2	12116	-1.9165281057357788	-0.7497713	Yes	
row_59	EIF2S1	12182	-2.2621798515319824	-0.74307275	Yes	
row_60	GAPDH	12267	-3.025794506072998	-0.7338757	Yes	
row_61	NPM1	12322	-3.879211187362671	-0.7177508	Yes	
row_62	HSPD1	12342	-4.228322982788086	-0.6969573	Yes	
row_63	NME1	12377	-5.181232929229736	-0.6723429	Yes	
row_64	NME2	12381	-5.443864345550537	-0.6438395	Yes	
row_65	BCAT1	12382	-5.487804412841797	-0.6148619	Yes	
row_66	EIF4G1	12395	-6.160963535308838	-0.5832984	Yes	
row_67	ENO1	12403	-6.5965256690979	-0.5490314	Yes	
row_68	ODC1	12426	-8.858292579650879	-0.5040322	Yes	
row_69	SLC2A1	12429	-9.261303901672363	-0.4552906	Yes	
row_70	EIF4A1	12437	-11.35508918762207	-0.39589664	Yes	
row_71	HMGA1	12451	-15.286172866821289	-0.31622943	Yes	
row_72	LDHA	12452	-15.553306579589844	-0.23410238	Yes	
row_73	FOSL1	12458	-20.080995559692383	-0.12847108	Yes	
row_74	MYC	12461	-24.391151428222656	1.6157073E-4	Yes	
