NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION	VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION	Details ...	75	-0.79434866	-2.2420802	0.0	0.0	0.0	536	tags=31%, list=4%, signal=32%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	Details ...	178	-0.6796826	-2.2397664	0.0	0.0	0.0	1645	tags=51%, list=13%, signal=57%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	Details ...	188	-0.6846604	-2.2369573	0.0	0.0	0.0	1645	tags=51%, list=13%, signal=58%	
RRNA PROCESSING%REACTOME%R-HSA-72312.3	RRNA PROCESSING%REACTOME%R-HSA-72312.3	Details ...	198	-0.67822486	-2.235664	0.0	0.0	0.0	1645	tags=49%, list=13%, signal=56%	
RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 79%6790901	RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 79%6790901	Details ...	60	-0.7924483	-2.206945	0.0	2.658172E-4	0.001	1609	tags=68%, list=13%, signal=78%	
ATP METABOLIC PROCESS%GOBP%GO:0046034	ATP METABOLIC PROCESS%GOBP%GO:0046034	Details ...	153	-0.6778272	-2.1771436	0.0	4.4613978E-4	0.002	1041	tags=22%, list=8%, signal=24%	
HALLMARK_MYC_TARGETS_V2%MSIGDB_C2%HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2%MSIGDB_C2%HALLMARK_MYC_TARGETS_V2	Details ...	45	-0.8260375	-2.1543477	0.0	7.527126E-4	0.004	805	tags=56%, list=6%, signal=59%	
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	Details ...	90	-0.7177225	-2.1437604	0.0	6.586236E-4	0.004	1243	tags=26%, list=10%, signal=28%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364	Details ...	166	-0.67051286	-2.1300724	0.0	7.278339E-4	0.005	1637	tags=49%, list=13%, signal=56%	
KERATINIZATION%REACTOME%R-HSA-6805567.2	KERATINIZATION%REACTOME%R-HSA-6805567.2	Details ...	26	-0.87699854	-2.1171458	0.0	0.0010564981	0.008	779	tags=35%, list=6%, signal=37%	
