NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CYTOSKELETON-DEPENDENT CYTOKINESIS%GOBP%GO:0061640	CYTOSKELETON-DEPENDENT CYTOKINESIS%GOBP%GO:0061640	Details ...	88	0.6928261	2.025301	0.0	0.013802883	0.017	1603	tags=32%, list=13%, signal=36%	
MITOTIC PROMETAPHASE%REACTOME DATABASE ID RELEASE 79%68877	MITOTIC PROMETAPHASE%REACTOME DATABASE ID RELEASE 79%68877	Details ...	180	0.6327551	2.0180042	0.0	0.008121317	0.02	1897	tags=35%, list=15%, signal=41%	
NUCLEAR DNA REPLICATION%GOBP%GO:0033260	NUCLEAR DNA REPLICATION%GOBP%GO:0033260	Details ...	21	0.86747235	2.0176475	0.0	0.0054142117	0.02	601	tags=48%, list=5%, signal=50%	
DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 79%69190	DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 79%69190	Details ...	32	0.81226104	1.999944	0.0	0.0081195375	0.04	987	tags=47%, list=8%, signal=51%	
CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	Details ...	22	0.8539195	1.9849956	0.0	0.010720838	0.065	601	tags=45%, list=5%, signal=48%	
CYTOKINESIS%GOBP%GO:0000910	CYTOKINESIS%GOBP%GO:0000910	Details ...	90	0.686014	1.984011	0.0	0.009203057	0.067	1603	tags=31%, list=13%, signal=35%	
REGULATION OF DNA-DEPENDENT DNA REPLICATION%GOBP%GO:0090329	REGULATION OF DNA-DEPENDENT DNA REPLICATION%GOBP%GO:0090329	Details ...	50	0.7454093	1.962553	0.0	0.012417786	0.099	987	tags=32%, list=8%, signal=35%	
MEIOTIC SYNAPSIS%REACTOME%R-HSA-1221632.1	MEIOTIC SYNAPSIS%REACTOME%R-HSA-1221632.1	Details ...	33	0.80755717	1.9507512	0.0	0.015321703	0.139	724	tags=27%, list=6%, signal=29%	
CHROMOSOME CONDENSATION%GOBP%GO:0030261	CHROMOSOME CONDENSATION%GOBP%GO:0030261	Details ...	25	0.83149815	1.9394199	0.0	0.017936232	0.18	592	tags=32%, list=5%, signal=34%	
REPRODUCTION%REACTOME%R-HSA-1474165.3	REPRODUCTION%REACTOME%R-HSA-1474165.3	Details ...	61	0.70382243	1.9361992	0.0	0.017119322	0.19	1499	tags=26%, list=12%, signal=30%	
MITOTIC CYTOKINESIS%GOBP%GO:0000281	MITOTIC CYTOKINESIS%GOBP%GO:0000281	Details ...	71	0.68457556	1.928181	0.0	0.018661732	0.217	1080	tags=24%, list=9%, signal=26%	
MEIOSIS%REACTOME%R-HSA-1500620.2	MEIOSIS%REACTOME%R-HSA-1500620.2	Details ...	54	0.70844644	1.9182909	0.0016313214	0.02197487	0.272	1499	tags=28%, list=12%, signal=31%	
DNA REPLICATION%WIKIPATHWAYS_20220210%WP466%HOMO SAPIENS	DNA REPLICATION%WIKIPATHWAYS_20220210%WP466%HOMO SAPIENS	Details ...	27	0.8059631	1.9158514	0.0	0.021223983	0.283	1323	tags=52%, list=11%, signal=58%	
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 79%68962	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 79%68962	Details ...	32	0.7660707	1.9128097	0.0	0.020926796	0.297	974	tags=38%, list=8%, signal=41%	
HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE	Details ...	143	0.6104054	1.8786051	0.0	0.03934333	0.521	1595	tags=36%, list=13%, signal=40%	
SEMA4D IN SEMAPHORIN SIGNALING%REACTOME DATABASE ID RELEASE 79%400685	SEMA4D IN SEMAPHORIN SIGNALING%REACTOME DATABASE ID RELEASE 79%400685	Details ...	23	0.8074159	1.8779676	0.0	0.037087213	0.522	1027	tags=48%, list=8%, signal=52%	
CENTROMERE COMPLEX ASSEMBLY%GOBP%GO:0034508	CENTROMERE COMPLEX ASSEMBLY%GOBP%GO:0034508	Details ...	16	0.85991484	1.8749168	0.0	0.03752792	0.543	718	tags=44%, list=6%, signal=46%	
AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.3	AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.3	Details ...	70	0.6638049	1.8638874	0.0	0.04332376	0.602	2013	tags=43%, list=16%, signal=51%	
RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 79%380320	RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 79%380320	Details ...	78	0.6586719	1.8629634	0.0	0.041557893	0.608	2013	tags=40%, list=16%, signal=47%	
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME DATABASE ID RELEASE 79%380284	LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME DATABASE ID RELEASE 79%380284	Details ...	67	0.6628484	1.8575493	0.0	0.044558924	0.659	2013	tags=42%, list=16%, signal=50%	
POSITIVE REGULATION OF HISTONE METHYLATION%GOBP%GO:0031062	POSITIVE REGULATION OF HISTONE METHYLATION%GOBP%GO:0031062		35	0.7262795	1.8565912	0.0	0.043324094	0.665	2740	tags=60%, list=22%, signal=77%	
REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1902275	REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1902275		39	0.72311795	1.8543355	0.0	0.043790344	0.689	1948	tags=46%, list=16%, signal=55%	
PROTEIN-DNA COMPLEX ASSEMBLY%GOBP%GO:0065004	PROTEIN-DNA COMPLEX ASSEMBLY%GOBP%GO:0065004		103	0.6288277	1.8542932	0.0	0.041921925	0.689	1531	tags=29%, list=12%, signal=33%	
RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME%R-HSA-380270.2	RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME%R-HSA-380270.2		79	0.6385077	1.8508604	0.0	0.042745583	0.713	2013	tags=38%, list=16%, signal=45%	
