NAME	TITLE	SCORE	
CDKN1A		23.422974	
SYNE2		20.15406	
STMN1		18.477524	
DPYSL3		16.431595	
NSD2		14.926645	
ATAD2		14.895337	
CALU		12.211665	
NORAD		11.63573	
NEAT1		11.273945	
H3-3A		10.991134	
MT2A		10.572639	
NPEPPS		10.551822	
KMT2A		9.975675	
MYH10		9.608389	
HIF1A		9.4648	
RBFOX2		8.981544	
ATP9A		8.796802	
RHOB		8.783363	
CIT		8.731472	
MKI67		8.705237	
DHFR		8.274091	
WDR1		8.212652	
MBTPS1		8.093897	
NASP		7.9683485	
HMGB2		7.6423745	
MCM3		7.5764327	
PRRC2C		7.563671	
CLIP3		7.5349627	
SMC4		7.5196815	
BANF1		7.4445677	
PSIP1		7.4317784	
TUBA1A		7.3706403	
KANK2		7.1820955	
TAF1		7.0935235	
ATF7IP		6.965158	
SERPINH1		6.891493	
PTPN14		6.5830636	
MDM2		6.462886	
CREBL2		6.3814697	
DDB2		6.3007464	
E2F2		6.124605	
BTG2		6.0664616	
MCM6		5.9982038	
FBN1		5.95729	
GPC1		5.8711057	
DLG5		5.8440666	
RAB7A		5.8352385	
H1-10		5.8098054	
IFT46		5.8081255	
FTH1		5.727098	
PCNA		5.6472454	
PGM1		5.542656	
PRR11		5.425992	
CHD4		5.3330727	
HMGN2		5.2855024	
EIF4A2		5.231756	
SMC1A		5.2239943	
MTRNR2L8		5.1612835	
RNF213		5.1083026	
MSRB3		5.0896444	
GALNT16		5.073505	
NIBAN1		5.0183735	
YBX1		4.9355664	
DNMT3B		4.9089227	
WSB1		4.8325195	
TP53I3		4.8285027	
SLK		4.7757573	
MET		4.751708	
TULP3		4.7286315	
CYRIB		4.696777	
CRK		4.6952624	
PPP2R1B		4.6379385	
CORO6		4.636025	
UTRN		4.5935693	
CEP170		4.5633616	
LNPEP		4.542893	
RAD21		4.5290356	
IQGAP1		4.4448643	
SETD5		4.4221926	
CDK19		4.417835	
SEPTIN8		4.4172244	
PTN		4.3557587	
FAT1		4.350944	
G3BP2		4.3481903	
VAMP7		4.329694	
TPM4		4.322755	
NUCKS1		4.320632	
RBPJ		4.3127055	
NUMA1		4.268312	
PRPF8		4.2531867	
WNK1		4.234011	
CCDC88A		4.2197723	
PRODH		4.208933	
PTPN13		4.19776	
FOXN3		4.195995	
RFC1		4.192563	
KIF11		4.1904936	
CDC27		4.184867	
DERL1		4.174209	
CENPH		4.1339993	
TASOR		4.11922	
MCM4		4.1156554	
AAGAB		4.0823627	
DYNC1H1		4.0350213	
WDR76		4.026639	
SRSF5		3.9870718	
NUSAP1		3.9808893	
ERC1		3.9545252	
E2F1		3.9460924	
SCAF11		3.9241858	
FYTTD1		3.9192498	
PI4KA		3.9154608	
IPO9		3.9039402	
MCM2		3.8890214	
LRP1		3.887123	
CCND3		3.8742518	
CBX5		3.801949	
SEMA3B		3.7941837	
NEURL1B		3.7925367	
CBX1		3.7765431	
TGOLN2		3.7402291	
CALM3		3.7367923	
PSEN1		3.7310607	
SOGA1		3.7301626	
FLOT2		3.693705	
PIDD1		3.6851583	
MAP1A		3.6843174	
BPTF		3.6829424	
PTPMT1		3.6789556	
COL12A1		3.6476624	
WNT3		3.6331027	
KMT2C		3.6233003	
ARL1		3.6018903	
MED21		3.5904446	
CENPF		3.5564377	
HSPA5		3.5504436	
COL1A1		3.5448098	
AHNAK2		3.5376642	
CXCR5		3.5238345	
RRM1		3.478816	
SEL1L		3.4772618	
SON		3.4728527	
TOP2A		3.4500408	
CIRBP		3.4343266	
DNMT1		3.405789	
SMAP1		3.3907034	
BACE1		3.383885	
ABR		3.3727956	
HNRNPA1		3.3638206	
WWC3		3.3426123	
UNC119B		3.3397563	
CNTRL		3.3392558	
FNIP2		3.3111203	
KDM3B		3.252815	
BOD1		3.2479334	
LIG1		3.2418308	
C2CD5		3.232613	
TMEM65		3.2082431	
MLEC		3.2052393	
EZH2		3.194821	
GINS3		3.1780133	
UBTF		3.1737576	
CPNE2		3.1554422	
RTL5		3.1511555	
GOLGB1		3.1504965	
ZNF318		3.1451676	
CDKN2C		3.1335585	
MEST		3.1177413	
NAP1L1		3.1176872	
TTL		3.111207	
NBPF1		3.108257	
E2F8		3.1041908	
CSDE1		3.096835	
ARPIN		3.0886812	
KNTC1		3.0877364	
SUMO2		3.0731614	
RNF115		3.069815	
UHRF1		3.0596788	
CYFIP2		3.0576143	
CDT1		3.0515785	
CUL7		3.040676	
CD109		3.035435	
RDX		3.0036595	
CORO7-PAM16		2.995973	
LAMB2		2.9945433	
ILRUN		2.982332	
PPFIBP1		2.9709406	
CREBBP		2.969406	
RASSF8		2.9686823	
ANKHD1		2.9646142	
MCFD2		2.9612153	
NTN4		2.9393115	
CTDSP2		2.9381154	
LAMA5		2.9334466	
AJUBA		2.919034	
FDXR		2.9183936	
PDIA4		2.9135711	
MAP4K4		2.9116118	
CHMP3		2.9013019	
RBL2		2.8899767	
CPLANE1		2.8886747	
H1-0		2.8823752	
PRKDC		2.8798256	
TNS2		2.8769536	
B4GALT1		2.876882	
ARIH1		2.8699563	
DAG1		2.8658223	
RNF157		2.8645184	
KDM3A		2.862932	
SSRP1		2.8594997	
HUWE1		2.85593	
HNRNPUL2		2.846886	
KIAA1109		2.8298018	
